"","region","Ntot","Ncases.controls","b_diag","empty1","se_diag","empty2","t_diag","empty3","p_diag","empty4","cohensd.ci","BF10","mcc","drug","p_adj_cross_substance","mcc_cross_substance"
"1","thal",1187,"191/996",0.00447791210759268,NA,0.00406650010529086,NA,1.10117102954615,NA,0.270922198467741,NA,"0.058(-0.1,0.21)",0.0354443461615641,"no","coc",0.511698567667171,"no"
"2","caud",1190,"191/999",-0.00307881012789814,NA,0.00358747348455119,NA,-0.858211256795759,NA,0.390851023117283,NA,"-0.045(-0.2,0.11)",0.0274205784948363,"no","coc",0.626204523919916,"no"
"3","put",1186,"189/997",0.00217560931169203,NA,0.00369399012285265,NA,0.588959157804118,NA,0.55593723981229,NA,"0.031(-0.12,0.19)",0.0223279252966945,"no","coc",0.748377053593467,"no"
"4","pal",1195,"191/1004",0.00217450079410109,NA,0.00821777341475051,NA,0.264609485362296,NA,0.791330149308917,NA,"0.014(-0.14,0.17)",0.0196332010066891,"no","coc",0.878033042486746,"no"
"5","hippo",1192,"190/1002",0.00459074772593453,NA,0.00324442629125164,NA,1.41496440782555,NA,0.157192153290738,NA,"0.074(-0.08,0.23)",0.0474749737665491,"no","coc",0.429590128154029,"no"
"6","amyg",1194,"191/1003",-0.00578201447378674,NA,0.00677673505014027,NA,-0.853215365660055,NA,0.393614272178233,NA,"-0.044(-0.2,0.11)",0.0272762345011999,"no","coc",0.626204523919916,"no"
"7","accumb",1189,"191/998",0.0162082609440872,NA,0.0109274727087807,NA,1.48325796604947,NA,0.138120895442203,NA,"0.077(-0.08,0.23)",0.0570696506392614,"no","coc",0.429590128154029,"no"
"8","bankssts_surfavg",1172,"191/981",-0.00673074455564482,NA,0.00697906898358304,NA,-0.964418688435039,NA,0.334922169459324,NA,"-0.05(-0.21,0.1)",0.0304423200486158,"no","coc",0.853593526624457,"no"
"9","caudalanteriorcingulate_surfavg",1192,"191/1001",-0.00314174186644111,NA,0.0105807320672576,NA,-0.296930481413788,NA,0.766541992928236,NA,"-0.015(-0.17,0.14)",0.0197618290233745,"no","coc",0.9924401709022,"no"
"10","caudalmiddlefrontal_surfavg",1195,"191/1004",0.000659390614188139,NA,0.00617613550469285,NA,0.106764272527232,NA,0.91498376240869,NA,"0.006(-0.15,0.16)",0.0190405829148062,"no","coc",0.9924401709022,"no"
"11","cuneus_surfavg",1191,"191/1000",-0.00210012705495921,NA,0.00543015435453901,NA,-0.386752736264989,NA,0.698969248710853,NA,"-0.02(-0.17,0.13)",0.0204376716199949,"no","coc",0.9924401709022,"no"
"12","entorhinal_surfavg",1165,"191/974",-0.0175126121274884,NA,0.00885168994030004,NA,-1.97844843703312,NA,0.0479801909225405,NA,"-0.103(-0.26,0.05)",0.0865998653114376,"no","coc",0.618659105308735,"no"
"13","fusiform_surfavg",1193,"191/1002",-0.00842043340934852,NA,0.0041970568965308,NA,-2.0062709696189,NA,0.0449249535252855,NA,"-0.104(-0.26,0.05)",0.0922354770772873,"no","coc",0.618659105308735,"no"
"14","inferiorparietal_surfavg",1190,"191/999",-0.00394188987692307,NA,0.00500786610155571,NA,-0.787139631328902,NA,0.431268086460126,NA,"-0.041(-0.2,0.11)",0.0250804286909442,"no","coc",0.888690292317926,"no"
"15","inferiortemporal_surfavg",1193,"191/1002",-0.00159121001288995,NA,0.00588218964129415,NA,-0.270513211903156,NA,0.786785746692495,NA,"-0.014(-0.17,0.14)",0.0196012260906471,"no","coc",0.9924401709022,"no"
"16","isthmuscingulate_surfavg",1192,"191/1001",-0.000154976913462731,NA,0.00632047165981557,NA,-0.0245198336143244,NA,0.980439739948746,NA,"-0.001(-0.16,0.15)",0.0189445609747554,"no","coc",0.9924401709022,"no"
"17","lateraloccipital_surfavg",1191,"191/1000",0.00112704520815245,NA,0.00392369333611018,NA,0.287240900755451,NA,0.77394949670329,NA,"0.015(-0.14,0.17)",0.0197458054252316,"no","coc",0.9924401709022,"no"
"18","lateralorbitofrontal_surfavg",1196,"191/1005",-0.0157159504130252,NA,0.00504208653481186,NA,-3.11695372630323,NA,0.00184612161495268,NA,"-0.162(-0.32,-0.01)",2.43842408376013,"no","coc",0.107690427538906,"no"
"19","lingual_surfavg",1187,"191/996",-0.00452249210569283,NA,0.00488157404185752,NA,-0.926441362338109,NA,0.354298041248403,NA,"-0.048(-0.2,0.11)",0.0289911921615994,"no","coc",0.873269819978458,"no"
"20","medialorbitofrontal_surfavg",1189,"191/998",-0.00726790232138161,NA,0.00691741577784693,NA,-1.05066726575221,NA,0.293503787206606,NA,"-0.055(-0.21,0.1)",0.0328826407471074,"no","coc",0.850009025503428,"no"
"21","middletemporal_surfavg",1184,"191/993",0.00677119821020126,NA,0.00456220209515245,NA,1.48419514720665,NA,0.137872600611661,NA,"0.077(-0.08,0.23)",0.0547946396467474,"no","coc",0.618659105308735,"no"
"22","parahippocampal_surfavg",1194,"191/1003",-0.00264498232061285,NA,0.0058521875952058,NA,-0.451964718762545,NA,0.651329992396023,NA,"-0.023(-0.18,0.13)",0.0208220081063306,"no","coc",0.9924401709022,"no"
"23","paracentral_surfavg",1194,"191/1003",-0.00713407810328436,NA,0.005771368419111,NA,-1.23611552498727,NA,0.216520965155034,NA,"-0.064(-0.22,0.09)",0.037704223882813,"no","coc",0.793599665688623,"no"
"24","parsopercularis_surfavg",1189,"191/998",0.00606930868791175,NA,0.00724594307867602,NA,0.837614734481289,NA,0.402319983018899,NA,"0.044(-0.11,0.2)",0.0264191180378308,"no","coc",0.888690292317926,"no"
"25","parsorbitalis_surfavg",1193,"191/1002",0.00140054357238033,NA,0.00493918018153103,NA,0.283557902507252,NA,0.776770508486154,NA,"0.015(-0.14,0.17)",0.0197144820929795,"no","coc",0.9924401709022,"no"
"26","parstriangularis_surfavg",1194,"191/1003",0.0136749727137168,NA,0.00617722209348496,NA,2.21377384636042,NA,0.0269260465621025,NA,"0.115(-0.04,0.27)",0.220712964187226,"no","coc",0.618659105308735,"no"
"27","pericalcarine_surfavg",1191,"191/1000",-0.00324429744082476,NA,0.00508120462002456,NA,-0.638489823464161,NA,0.52320806369631,NA,"-0.033(-0.19,0.12)",0.0232516542750683,"no","coc",0.906279218538209,"no"
"28","postcentral_surfavg",1196,"191/1005",0.000185021779733382,NA,0.00405020411848909,NA,0.0456820876974476,NA,0.963566948078693,NA,"0.002(-0.15,0.16)",0.0189448639705169,"no","coc",0.9924401709022,"no"
"29","posteriorcingulate_surfavg",1194,"191/1003",0.0110562479412731,NA,0.00667611912756357,NA,1.65608907360945,NA,0.0978176214132306,NA,"0.086(-0.07,0.24)",0.0716539453632042,"no","coc",0.618659105308735,"no"
"30","precentral_surfavg",1195,"191/1004",-0.000120051500063967,NA,0.00301702857643812,NA,-0.0397913036029971,NA,0.968262390539497,NA,"-0.002(-0.16,0.15)",0.0189437036612387,"no","coc",0.9924401709022,"no"
"31","precuneus_surfavg",1192,"191/1001",0.00242063971326278,NA,0.00368039042433856,NA,0.657712751683896,NA,0.51077773479623,NA,"0.034(-0.12,0.19)",0.0234821522171792,"no","coc",0.893861035893402,"no"
"32","rostralanteriorcingulate_surfavg",1194,"191/1003",-0.00123446526390157,NA,0.00816717340877451,NA,-0.151149633063418,NA,0.879868758866632,NA,"-0.008(-0.16,0.15)",0.0191639348130498,"no","coc",0.9924401709022,"no"
"33","rostralmiddlefrontal_surfavg",1192,"191/1001",-0.0025363535688319,NA,0.00364533481335915,NA,-0.695780689207712,NA,0.486624978465963,NA,"-0.036(-0.19,0.12)",0.0240514537804959,"no","coc",0.893861035893402,"no"
"34","superiorfrontal_surfavg",1193,"191/1002",-0.000726022352703372,NA,0.00274114644472396,NA,-0.264860841018103,NA,0.791136479391904,NA,"-0.014(-0.17,0.14)",0.0196133837349782,"no","coc",0.9924401709022,"no"
"35","superiorparietal_surfavg",1196,"191/1005",0.00206581287525815,NA,0.00362635884444018,NA,0.56966587253917,NA,0.568950736011065,NA,"0.03(-0.13,0.18)",0.0220391365053704,"no","coc",0.945341934835248,"no"
"36","superiortemporal_surfavg",1168,"191/977",0.00592458070885082,NA,0.00374667854595104,NA,1.58128876982345,NA,0.113928592663895,NA,"0.082(-0.07,0.24)",0.0665974999960658,"no","coc",0.618659105308735,"no"
"37","supramarginal_surfavg",1177,"191/986",-0.000498267597575302,NA,0.00483529255797332,NA,-0.103048076533377,NA,0.9179323775811,NA,"-0.005(-0.16,0.15)",0.0191155377500007,"no","coc",0.9924401709022,"no"
"38","frontalpole_surfavg",1195,"191/1004",0.000952455588700556,NA,0.00836031821707026,NA,0.113925757844458,NA,0.909304941902684,NA,"0.006(-0.15,0.16)",0.0190427549992914,"no","coc",0.9924401709022,"no"
"39","temporalpole_surfavg",1195,"191/1004",-0.0140153530429492,NA,0.00770896385150113,NA,-1.8180592506242,NA,0.0691635922900759,NA,"-0.095(-0.25,0.06)",0.0825810677607456,"no","coc",0.618659105308735,"no"
"40","transversetemporal_surfavg",1196,"191/1005",-0.0037588085510205,NA,0.00736519633778156,NA,-0.510347365994683,NA,0.609848965466761,NA,"-0.027(-0.18,0.13)",0.0215531690981386,"no","coc",0.970214263242574,"no"
"41","insula_surfavg",1196,"191/1005",0.00199928817984582,NA,0.00473078884054318,NA,0.422612009800942,NA,0.672611331636277,NA,"0.022(-0.13,0.18)",0.0206899157721816,"no","coc",0.9924401709022,"no"
"42","bankssts_thickavg",1179,"191/988",0.00262498059526753,NA,0.0043751248960175,NA,0.599978436651475,NA,0.548570603304481,NA,"0.031(-0.12,0.19)",0.0226539391374689,"no","coc",0.905527542249451,"no"
"43","caudalanteriorcingulate_thickavg",1193,"191/1002",-0.00404036505444538,NA,0.00515791805644128,NA,-0.783332540422916,NA,0.433499192031767,NA,"-0.041(-0.2,0.11)",0.0254526835094859,"no","coc",0.905527542249451,"no"
"44","caudalmiddlefrontal_thickavg",1195,"191/1004",0.0019881404085831,NA,0.00302490823241176,NA,0.657256437494618,NA,0.511070905457954,NA,"0.034(-0.12,0.19)",0.0234994522893851,"no","coc",0.905527542249451,"no"
"45","cuneus_thickavg",1194,"191/1003",0.00350388030494637,NA,0.00313276439491765,NA,1.11846275788591,NA,0.263466881639818,NA,"0.058(-0.1,0.21)",0.0353753533657608,"no","coc",0.905527542249451,"no"
"46","entorhinal_thickavg",1176,"191/985",-0.00812919492399335,NA,0.0063163416454825,NA,-1.28701000994894,NA,0.198200959196657,NA,"-0.067(-0.22,0.09)",0.0434350818466691,"no","coc",0.905527542249451,"no"
"47","fusiform_thickavg",1194,"191/1003",0.00433966146203971,NA,0.00263026617498581,NA,1.64989441118563,NA,0.0990785292972178,NA,"0.086(-0.07,0.24)",0.0740591682587574,"no","coc",0.905527542249451,"no"
"48","inferiorparietal_thickavg",1194,"191/1003",0.00164347017168014,NA,0.0027944905078957,NA,0.588110844190235,NA,0.556506099547749,NA,"0.031(-0.12,0.19)",0.0225129821752097,"no","coc",0.905527542249451,"no"
"49","inferiortemporal_thickavg",1193,"191/1002",0.000523383192969277,NA,0.00351643165676025,NA,0.148839290524269,NA,0.881691343878957,NA,"0.008(-0.15,0.16)",0.0191490360583202,"no","coc",0.973144222183231,"no"
"50","isthmuscingulate_thickavg",1192,"191/1001",-0.000519808718383632,NA,0.00367747594221837,NA,-0.141349318541039,NA,0.887604332029028,NA,"-0.007(-0.16,0.15)",0.019126391824324,"no","coc",0.973144222183231,"no"
"51","lateraloccipital_thickavg",1193,"191/1002",0.00171580052798601,NA,0.00272453885340102,NA,0.629758142683187,NA,0.528905057536943,NA,"0.033(-0.12,0.19)",0.0230980686925964,"no","coc",0.905527542249451,"no"
"52","lateralorbitofrontal_thickavg",1196,"191/1005",-0.00323450492263233,NA,0.00364217831843012,NA,-0.888068798352105,NA,0.374581213831064,NA,"-0.046(-0.2,0.11)",0.028103732648434,"no","coc",0.905527542249451,"no"
"53","lingual_thickavg",1195,"191/1004",-0.00147524990578283,NA,0.00230286575016486,NA,-0.64061481034108,NA,0.521826214523995,NA,"-0.033(-0.19,0.12)",0.0232250052893676,"no","coc",0.905527542249451,"no"
"54","medialorbitofrontal_thickavg",1194,"191/1003",-0.000204288227548162,NA,0.00460794422485676,NA,-0.0443339193313505,NA,0.964641447455419,NA,"-0.002(-0.16,0.15)",0.0189541091590009,"no","coc",0.981408152268711,"no"
"55","middletemporal_thickavg",1184,"191/993",0.00556414889186017,NA,0.00295134845151672,NA,1.88529039632738,NA,0.0594965941407014,NA,"0.098(-0.06,0.25)",0.104360529451481,"no","coc",0.905527542249451,"no"
"56","parahippocampal_thickavg",1193,"191/1002",0.00405168152777178,NA,0.00457613096035435,NA,0.885394575215138,NA,0.376021182945399,NA,"0.046(-0.11,0.2)",0.0275528313495388,"no","coc",0.905527542249451,"no"
"57","paracentral_thickavg",1195,"191/1004",-0.00536771332780776,NA,0.0028045111452264,NA,-1.91395685374409,NA,0.055729099117752,NA,"-0.099(-0.25,0.06)",0.114417842996034,"no","coc",0.905527542249451,"no"
"58","parsopercularis_thickavg",1190,"191/999",0.000747322611814303,NA,0.00320238776349175,NA,0.233364185416276,NA,0.815495996281895,NA,"0.012(-0.14,0.17)",0.0194803084950409,"no","coc",0.95779731106934,"no"
"59","parsorbitalis_thickavg",1193,"191/1002",-0.00174609693825145,NA,0.00508584853699224,NA,-0.343324604645834,NA,0.731380468836841,NA,"-0.018(-0.17,0.14)",0.0200882206221065,"no","coc",0.945605846541888,"no"
"60","parstriangularis_thickavg",1195,"191/1004",0.000455118016961882,NA,0.00399081460117756,NA,0.114041383137065,NA,0.909213298182324,NA,"0.006(-0.15,0.16)",0.019059284948802,"no","coc",0.976993208292763,"no"
"61","pericalcarine_thickavg",1195,"191/1004",0.00144111219528833,NA,0.0038569064668873,NA,0.373644579577106,NA,0.708697501961707,NA,"0.019(-0.14,0.17)",0.0202767145530542,"no","coc",0.939561082146202,"no"
"62","postcentral_thickavg",1196,"191/1005",0.0036530872679607,NA,0.00240810946577192,NA,1.51699385758184,NA,0.129382840594288,NA,"0.079(-0.08,0.23)",0.0574412597653356,"no","coc",0.905527542249451,"no"
"63","posteriorcingulate_thickavg",1195,"191/1004",-0.00393740229895949,NA,0.00341613082206286,NA,-1.15259119279919,NA,0.249178144722748,NA,"-0.06(-0.21,0.09)",0.0367564666270307,"no","coc",0.905527542249451,"no"
"64","precentral_thickavg",1194,"191/1003",0.00247088214349591,NA,0.00236376474556938,NA,1.04531643774081,NA,0.295968415315065,NA,"0.054(-0.1,0.21)",0.0325363637735102,"no","coc",0.905527542249451,"no"
