GeneSymbol	CellType	Allen.Average.donor.correlation.to.median	Allen.vs.Brainspan.correlation
ABCA1	NA	0.478104335575873	0.5517636
ABCA5	NA	0.576725389569317	0.56538967
ABCA9	Microglia	0.60849110171928	0.53969448
ABCB1	Endothelial	0.501817031798056	0.75517333
ABCC1	NA	0.542107627508481	0.72321613
ABCC3	Microglia	0.72223779541142	0.60791351
ABCC4	NA	0.552609108159393	0.59480504
ABCC8	NA	0.765225188315796	0.86558579
ABCC9	Endothelial	0.551269694094647	0.82799255
ABCG2	NA	0.457504600080501	0.72936857
ABHD12	NA	0.61308219768846	0.67721861
ABHD12B	NA	0.84437532344316	0.69973976
ABHD6	NA	0.528149258237019	0.73226616
ABLIM2	NA	0.647911635328618	0.58303793
ABLIM3	NA	0.593399243861768	0.74554226
ABT1	NA	0.497483612213214	0.64806936
ABTB1	NA	0.61596587315278	0.61222253
ABTB2	Oligodendrocyte	0.642964751883158	0.86432469
ACADL	NA	0.66047165200391	0.62255873
ACAN	NA	0.891461459950549	0.80236829
ACBD7	NA	0.510313883617963	0.56730044
ACHE	Interneuron	0.621933040078201	0.55432138
ACPL2	NA	0.711261572077511	0.76119274
ACSL3	Astrocyte	0.716484100971767	0.57955514
ACSL4	NA	0.694954286700017	0.85505896
ACSL6	Astrocyte	0.645081867057673	0.75273122
ACSM5	NA	0.699873497786211	0.70325153
ACTC1	NA	0.788597550457133	0.77286237
ACTG1	NA	0.699363895118165	0.73358514
ACTN2	NA	0.683727933988845	0.70004808
ACTN4	NA	0.657673509286412	0.6217627
ACTR10	NA	0.688987838537174	0.57787764
ACTR1B	NA	0.702813236731643	0.62310647
ACVR2A	NA	0.81347715772526	0.86441196
ADAD2	NA	0.697768960956817	0.56090987
ADAM22	NA	0.677700750388132	0.67003244
ADAM23	NA	0.607659493416135	0.68694338
ADAM28	NA	0.711995069288712	0.70054061
ADAMTS16	Mural	0.588221278247369	0.72106233
ADAMTS17	Interneuron	0.510509027657984	0.91780132
ADAMTS19	NA	0.712732519694094	0.877561
ADAMTS3	NA	0.733970875740325	0.8334564
ADAMTS5	NA	0.66176578402622	0.5937842
ADAMTS8	Mural	0.696892070611236	0.83955622
ADAMTSL3	NA	0.676380383531712	0.53093574
ADCY1	NA	0.597196825944454	0.80983238
ADCY2	Astrocyte	0.786162023460411	0.72114204
ADCY7	Microglia	0.605535549997125	0.83302081
ADCY8	NA	0.530529440515209	0.70536528
ADCY9	NA	0.786185383244207	0.79414282
ADCYAP1	S1.Pyramidal	0.686012880225404	0.73836541
ADCYAP1R1	NA	0.609665559772296	0.58720056
ADD3	Astrocyte	0.459489103559312	0.73527123
ADHFE1	NA	0.517916954171698	0.72038471
ADO	Oligodendrocyte	0.624136766143408	0.59238542
ADORA2B	NA	0.509108609949318	0.55138472
ADRA1B	NA	0.771442484618481	0.62621942
ADRA1D	CA1.Pyramidal	0.714131231671554	0.82879237
ADRA2A	NA	0.557120062101087	0.52508189
ADRA2C	CA1.Pyramidal	0.518087300902766	0.53126298
ADRB1	S1.Pyramidal	0.632083405209591	0.76598237
ADRB2	Microglia	0.701715326893221	0.64484574
ADSSL1	Oligodendrocyte	0.605789991949859	0.56314831
AFF1	NA	0.742919829222011	0.68575944
AFTPH	NA	0.694260680811914	0.68116139
AGAP2	NA	0.520969179460641	0.76346674
AGAP3	CA1.Pyramidal	0.623126904720833	0.59947548
AGPAT2	NA	0.639368063941119	0.52181158
AGPAT3	Astrocyte	0.447446595940429	0.70290491
AGPAT5	Astrocyte	0.450778060491059	0.5261849
AGPAT9	NA	0.916438818929331	0.90530586
AGXT2L1	NA	0.74734632856075	0.56640393
AHNAK2	NA	0.721936274509804	0.81675852
AIFM2	Astrocyte	0.5403013771491	0.66558387
AIFM3	NA	0.605095307917889	0.78871024
AIP	NA	0.456503363808867	0.53873977
AK5	NA	0.454932148812604	0.54582263
AK7	Ependymal	0.73660514058996	0.74821525
AKAP1	NA	0.523711618078316	0.54454127
AKAP13	Endothelial	0.605510752688172	0.67982463
AKAP7	Interneuron	0.58696128744753	0.62000471
ALDH1A3	NA	0.823288266919671	0.77387534
ALDH1B1	NA	0.667743732390317	0.76625093
ALDH6A1	NA	0.475826217583808	0.84339535
ALDOC	Astrocyte	0.594913317233052	0.53884718
ALG1L	NA	0.463170964866885	0.56579345
ALK	Interneuron	0.524881763555862	0.64929662
ALPL	NA	0.722117402679547	0.81160807
AMIGO2	Mural	0.866194080271405	0.88487973
AMT	Astrocyte	0.629275918578575	0.65350018
ANGPTL1	NA	0.47832679259387	0.71007317
ANK1	Interneuron	0.895663705364844	0.92831042
ANKDD1A	NA	0.60496018055316	0.73854383
ANKFN1	NA	0.600097751710655	0.67070006
ANKFY1	NA	0.582466865045138	0.56803203
ANKH	NA	0.847878212868725	0.91087907
ANKRD16	NA	0.506361408199643	0.58717941
ANKRD29	NA	0.867620464608131	0.80816442
ANKRD32	NA	0.449569101834282	0.59832949
ANKRD50	NA	0.84067944626531	0.72819482
ANKRD6	Interneuron	0.903892818124317	0.86101739
ANKS1A	NA	0.660331133919844	0.58517244
ANKZF1	NA	0.533714636881145	0.63052619
ANO10	Oligodendrocyte	0.501936705767351	0.64154257
ANO3	NA	0.757402535794376	0.96051674
ANO5	CA1.Pyramidal	0.624947530331781	0.75786102
ANP32E	NA	0.500276364211374	0.68055205
ANTXR2	NA	0.570821473750791	0.86902466
ANXA6	NA	0.577781970559485	0.76859619
