label,UKB_DIFF,ENIGMA_DIFF,SCZ,OCD,BD,MDD,CHR,PD,EPI,LIFE_AGE,young_age_r,middle_age_r,old_age_r,PC1
L_bankssts,-0.257041544,-0.26456182,-0.352,-0.06,-0.207,-0.058,-0.09,-0.136,-0.092,0.35,-0.401,-0.216,-0.176,0.508157712
L_caudalanteriorcingulate,-0.139396259,-0.072594968,-0.119,0.003,-0.095,-0.042,-0.08,0.05,0.039,0.13,-0.278,-0.056,0.073,0.262918103
L_caudalmiddlefrontal,-0.341272115,-0.369300109,-0.363,-0.09,-0.266,-0.014,-0.12,-0.163,-0.319,0.38,-0.383,-0.258,-0.163,0.671008853
L_cuneus,-0.082439569,-0.213048128,-0.203,-0.042,-0.056,0.047,0.01,-0.138,-0.157,0.29,-0.385,-0.159,-0.11,0.465103753
L_entorhinal,-0.068087007,-0.106802673,-0.203,-0.062,-0.036,-0.041,-0.02,-0.112,-0.264,0.01,0.008,-0.004,-0.198,0.229880083
L_fusiform,-0.284733148,-0.297690059,-0.491,-0.109,-0.288,-0.117,-0.17,-0.25,-0.187,0.28,-0.343,-0.182,-0.173,0.589129397
L_inferiorparietal,-0.322042336,-0.298473663,-0.362,-0.14,-0.265,-0.063,-0.16,-0.238,-0.197,0.46,-0.52,-0.23,-0.263,0.726062452
L_inferiortemporal,-0.268323291,-0.218184471,-0.449,-0.087,-0.25,-0.049,-0.13,-0.241,-0.085,0.22,-0.31,-0.144,-0.092,0.520613915
L_isthmuscingulate,-0.191921361,-0.249297226,-0.309,-0.068,-0.132,-0.104,-0.03,-0.199,-0.049,0.33,-0.362,-0.224,-0.147,0.305457076
L_lateraloccipital,-0.232474339,-0.269895992,-0.331,-0.074,-0.156,-0.023,-0.12,-0.197,-0.19,0.25,-0.381,-0.088,-0.233,0.646667392
L_lateralorbitofrontal,-0.26452895,-0.247398669,-0.398,-0.096,-0.216,-0.046,-0.08,-0.16,-0.066,0.41,-0.48,-0.191,-0.146,0.55970123
L_lingual,-0.214291441,-0.271792451,-0.349,-0.052,-0.208,0.006,-0.04,-0.137,-0.178,0.37,-0.404,-0.216,-0.224,0.51835911
L_medialorbitofrontal,-0.25681036,-0.174682297,-0.231,-0.084,-0.199,-0.134,-0.13,-0.116,0.005,0.29,-0.396,-0.153,-0.067,0.394610864
L_middletemporal,-0.472247604,-0.203020075,-0.444,-0.093,-0.252,-0.09,-0.1,-0.197,-0.199,0.38,-0.385,-0.218,-0.227,0.594610711
L_parahippocampal,-0.136835708,-0.131754706,-0.277,-0.059,-0.022,-0.072,-0.13,-0.138,-0.104,0.11,-0.171,-0.105,-0.129,0.224034964
L_paracentral,-0.231758649,-0.409538675,-0.253,-0.013,-0.137,-0.003,-0.15,-0.136,-0.311,0.37,-0.427,-0.225,-0.198,0.617956525
