"glist_n","coexp","coexp_pos_adj","coexp_neg_adj","No_coexp.FPR.orig","No_coexp.FPR.sqr","No_coexp.FPR.abs","No_coexp.FPR.nsig","No_coexp.FPR.nsig.fdr","No_spin.FPR.orig","No_spin.FPR.sqr","No_spin.FPR.abs","No_spin.FPR.nsig","No_spin.FPR.nsig.fdr","Spin.FPR.orig","Spin.FPR.sqr","Spin.FPR.abs","Spin.FPR.nsig","Spin.FPR.nsig.fdr"
5,-0.082965986471565,0.184473329750014,-0.267439316221579,0.005,0.041,0.035,0.015,0.012,0.065,0.181,0.178,0.151,0.156,0.062,0.1,0.097,0.054,0.068
19,0.0126224200562233,0.217611865103912,-0.204989445047689,0.058,0.073,0.064,0.043,0.032,0.095,0.217,0.207,0.208,0.185,0.052,0.088,0.09,0.072,0.074
14,0.0809196710129537,0.293155857607229,-0.212236186594276,0.26,0.078,0.08,0.038,0.025,0.162,0.205,0.198,0.176,0.179,0.059,0.086,0.084,0.073,0.076
58,0.0392728538990974,0.271639916772005,-0.232367062872907,0.216,0.058,0.053,0.024,0.022,0.071,0.169,0.159,0.166,0.134,0.049,0.073,0.076,0.071,0.074
6,0.0596502742634291,0.20456829283282,-0.144918018569391,0.046,0.042,0.05,0.015,0.017,0.099,0.167,0.169,0.078,0.143,0.049,0.078,0.078,0.049,0.052
47,0.0292562968147076,0.277645789352827,-0.248389492538119,0.131,0.035,0.048,0.017,0.016,0.082,0.167,0.164,0.162,0.132,0.058,0.077,0.075,0.072,0.078
9,0.00460115900371282,0.204909738585602,-0.200308579581889,0.007,0.151,0.142,0.074,0.07,0.08,0.254,0.225,0.215,0.227,0.065,0.087,0.09,0.058,0.065
160,0.0569267252113139,0.283174014507445,-0.226247289296131,0.495,0.061,0.069,0.041,0.022,0.063,0.176,0.17,0.173,0.143,0.058,0.085,0.082,0.077,0.077
6,-0.0679207582960413,0.241165264648835,-0.309086022944876,0.002,0.028,0.039,0.016,0.015,0.171,0.197,0.187,0.153,0.165,0.092,0.08,0.075,0.053,0.064
8,0.0111278670465,0.292890791904283,-0.281762924857783,0.042,0.1,0.113,0.058,0.041,0.121,0.171,0.173,0.128,0.143,0.049,0.075,0.071,0.051,0.056
86,0.0698382858807243,0.284834976151894,-0.214996690271169,0.395,0.036,0.039,0.023,0.024,0.064,0.174,0.167,0.165,0.143,0.047,0.087,0.089,0.076,0.08
152,0.0449578799048524,0.274960466589521,-0.230002586684668,0.502,0.092,0.088,0.054,0.028,0.079,0.181,0.177,0.179,0.143,0.06,0.081,0.078,0.079,0.08
18,0.0523290022004006,0.332836118132902,-0.280507115932501,0.054,0.026,0.037,0.014,0.016,0.104,0.166,0.164,0.159,0.134,0.064,0.087,0.088,0.066,0.077
17,0.0331572896409751,0.329658357578793,-0.296501067937818,0.022,0.039,0.054,0.022,0.021,0.097,0.166,0.167,0.151,0.126,0.061,0.083,0.082,0.068,0.075
63,0.0608737194755119,0.268150375448654,-0.207276655973142,0.207,0.046,0.044,0.027,0.02,0.047,0.176,0.166,0.162,0.135,0.043,0.081,0.083,0.074,0.075
9,0.0505073612238273,0.328326725860139,-0.277819364636312,0.025,0.066,0.073,0.03,0.023,0.128,0.161,0.157,0.135,0.147,0.047,0.075,0.078,0.049,0.063
40,0.0690375781525042,0.257482446655565,-0.188444868503061,0.212,0.025,0.033,0.022,0.017,0.078,0.187,0.178,0.166,0.155,0.063,0.09,0.089,0.075,0.067
34,0.0703810148159296,0.270426743099945,-0.200045728284015,0.205,0.025,0.026,0.027,0.023,0.086,0.187,0.186,0.163,0.148,0.064,0.085,0.083,0.076,0.07
47,0.0353148486662823,0.306443004748614,-0.271128156082332,0.185,0.058,0.068,0.031,0.028,0.097,0.169,0.161,0.165,0.146,0.062,0.081,0.079,0.075,0.079
42,0.0192639709923117,0.294917753260111,-0.275653782267799,0.071,0.057,0.057,0.034,0.028,0.091,0.177,0.168,0.168,0.152,0.061,0.082,0.078,0.073,0.073
5,0.647007381225163,0.647007381225163,0,0.255,0.089,0.106,0.052,0.029,0.064,0.068,0.062,0.034,0.069,0.049,0.05,0.049,0.034,0.038
86,0.0471293432443558,0.273611896008322,-0.226482552763967,0.293,0.121,0.115,0.071,0.042,0.06,0.186,0.177,0.181,0.18,0.049,0.084,0.08,0.075,0.085
10,-0.00573378735725067,0.22966497687647,-0.235398764233721,0.018,0.022,0.019,0.011,0.013,0.069,0.196,0.189,0.142,0.179,0.058,0.081,0.08,0.057,0.057
15,0.0460855773126909,0.235801334087229,-0.189715756774538,0.105,0.012,0.015,0.017,0.009,0.086,0.187,0.174,0.163,0.144,0.055,0.078,0.073,0.065,0.067
6,-0.0810490944215117,0.13603216995259,-0.217081264374102,0.01,0.018,0.019,0.004,0.009,0.059,0.16,0.148,0.075,0.132,0.053,0.086,0.083,0.06,0.049
26,0.0109191073157279,0.322457855873199,-0.311538748557471,0.012,0.113,0.147,0.071,0.048,0.037,0.156,0.149,0.142,0.128,0.047,0.072,0.072,0.072,0.07
10,0.183799102379947,0.437593875611254,-0.253794773231306,0.218,0.055,0.061,0.03,0.03,0.136,0.142,0.136,0.133,0.123,0.067,0.069,0.068,0.064,0.068
13,0.139794380929014,0.377733664711445,-0.237939283782431,0.154,0.098,0.12,0.042,0.035,0.085,0.164,0.158,0.15,0.127,0.044,0.07,0.067,0.057,0.062
54,0.0603313186698907,0.258802840630908,-0.198471521961017,0.328,0.115,0.084,0.063,0.037,0.1,0.212,0.193,0.195,0.2,0.067,0.091,0.082,0.077,0.091
33,0.0493677321355756,0.244813948669348,-0.195446216533772,0.215,0.095,0.073,0.052,0.032,0.101,0.216,0.21,0.201,0.204,0.058,0.084,0.083,0.071,0.078
15,0.0307634105705492,0.210143576130011,-0.179380165559461,0.096,0.048,0.043,0.03,0.025,0.089,0.204,0.185,0.188,0.175,0.046,0.083,0.083,0.071,0.074
6,0.0961679035179274,0.322997309307178,-0.22682940578925,0.242,0.133,0.12,0.035,0.039,0.273,0.24,0.219,0.155,0.231,0.104,0.074,0.072,0.04,0.054
5,0.0189279907037152,0.294703643244629,-0.275775652540914,0.122,0.099,0.084,0.028,0.026,0.235,0.215,0.19,0.108,0.218,0.1,0.068,0.068,0.04,0.052
29,0.0643688870909848,0.305365373198275,-0.24099648610729,0.236,0.067,0.071,0.038,0.025,0.082,0.165,0.158,0.154,0.123,0.045,0.082,0.081,0.071,0.072
7,0.154352569117965,0.308842389925708,-0.154489820807743,0.06,0.021,0.022,0.009,0.016,0.137,0.162,0.154,0.109,0.167,0.065,0.069,0.065,0.043,0.06
7,0.361142586751727,0.567235833268738,-0.20609324651701,0.276,0.039,0.058,0.022,0.018,0.131,0.13,0.123,0.113,0.104,0.07,0.075,0.071,0.06,0.069
5,0.0585612820089068,0.197837264417439,-0.139275982408532,0.05,0.116,0.11,0.05,0.046,0.037,0.196,0.18,0.154,0.179,0.041,0.091,0.082,0.048,0.056
72,0.0666338467411135,0.307228041175723,-0.24059419443461,0.471,0.115,0.124,0.063,0.035,0.096,0.18,0.168,0.167,0.146,0.07,0.087,0.085,0.081,0.085
5,-0.186162204009711,0.251909676193489,-0.4380718802032,0,0.086,0.109,0.036,0.045,0.075,0.199,0.199,0.129,0.165,0.069,0.08,0.08,0.058,0.058
23,-0.0020376022556964,0.354164406344803,-0.3562020086005,0.052,0.109,0.15,0.078,0.05,0.091,0.155,0.148,0.148,0.109,0.053,0.078,0.073,0.076,0.075
16,0.147913201193123,0.431640151335501,-0.283726950142378,0.442,0.085,0.135,0.059,0.045,0.182,0.16,0.156,0.145,0.117,0.076,0.079,0.079,0.072,0.074
8,0.356603622615792,0.397226145071629,-0.0406225224558368,0.324,0.111,0.106,0.052,0.043,0.118,0.176,0.163,0.132,0.161,0.071,0.083,0.078,0.052,0.065
36,0.163037536457739,0.335270697307757,-0.172233160850018,0.476,0.085,0.09,0.045,0.031,0.096,0.167,0.157,0.154,0.166,0.073,0.089,0.092,0.084,0.082
19,0.174079039230157,0.335195915322186,-0.161116876092029,0.302,0.053,0.05,0.031,0.026,0.092,0.154,0.14,0.133,0.139,0.062,0.093,0.094,0.083,0.079
5,-0.0331639334722163,0.231091580177076,-0.264255513649292,0.021,0.046,0.047,0.015,0.019,0.078,0.189,0.174,0.131,0.168,0.046,0.079,0.077,0.051,0.06
5,0.345969412844872,0.396265301851213,-0.0502958890063413,0.13,0.021,0.019,0.01,0.016,0.123,0.17,0.168,0.123,0.171,0.069,0.097,0.087,0.053,0.071
10,0.134420104794017,0.331045112961005,-0.196625008166988,0.186,0.122,0.125,0.05,0.045,0.141,0.16,0.153,0.112,0.186,0.076,0.08,0.078,0.064,0.071
8,0.0364167365000493,0.296125200626688,-0.259708464126639,0.033,0.147,0.142,0.052,0.052,0.126,0.17,0.149,0.143,0.181,0.078,0.079,0.073,0.055,0.065
67,0.0408687025591342,0.255682688703514,-0.21481398614438,0.357,0.059,0.069,0.044,0.019,0.119,0.204,0.2,0.198,0.161,0.08,0.089,0.09,0.087,0.089
63,0.0392417623281441,0.253718973688643,-0.214477211360499,0.256,0.045,0.046,0.035,0.027,0.101,0.198,0.195,0.19,0.158,0.075,0.086,0.085,0.082,0.084
56,0.0238374062074502,0.238606854709124,-0.214769448501673,0.095,0.038,0.035,0.032,0.022,0.082,0.202,0.2,0.195,0.163,0.074,0.09,0.087,0.084,0.081
27,0.0698157551028986,0.254753667468707,-0.184937912365809,0.067,0.074,0.054,0.045,0.02,0.08,0.191,0.178,0.171,0.165,0.062,0.091,0.093,0.076,0.075
23,0.0359845812710217,0.239216310692163,-0.203231729421141,0.19,0.048,0.034,0.037,0.027,0.12,0.199,0.188,0.197,0.158,0.058,0.092,0.089,0.082,0.077
23,0.0359845812710217,0.239216310692163,-0.203231729421141,0.19,0.051,0.035,0.037,0.029,0.12,0.199,0.188,0.197,0.158,0.058,0.092,0.089,0.082,0.077
7,0.511381419086948,0.570035731937886,-0.0586543128509386,0.366,0.142,0.165,0.069,0.052,0.136,0.181,0.182,0.173,0.168,0.05,0.069,0.068,0.042,0.054
24,0.0485531106209686,0.297835258897446,-0.249282148276477,0.167,0.053,0.052,0.027,0.017,0.084,0.163,0.158,0.15,0.121,0.046,0.083,0.079,0.07,0.072
7,0.511381419086948,0.570035731937886,-0.0586543128509386,0.364,0.139,0.161,0.07,0.052,0.136,0.181,0.182,0.173,0.168,0.05,0.069,0.068,0.042,0.054
77,0.110927760774614,0.300478282368185,-0.189550521593571,0.617,0.129,0.12,0.068,0.027,0.107,0.187,0.176,0.179,0.148,0.065,0.085,0.085,0.078,0.07
