"seed","glist_n","FPR.orig","FPR.sqr","FPR.abs","FPR.nsig","FPR.nsig.fdr","coexp","coexp_pos_adj","coexp_neg_adj"
648675,5,0.037,0.087,0.09,0.06,0.057,-0.112605621746349,0.131484273756254,-0.244089895502603
648675,10,0.059,0.088,0.087,0.064,0.067,-0.0353233962593623,0.209796457704374,-0.245119853963736
648675,15,0.066,0.086,0.082,0.072,0.07,-0.0125154182963953,0.190759560873951,-0.203274979170346
648675,20,0.059,0.091,0.089,0.074,0.071,-0.0121389916812961,0.184437323454332,-0.196576315135628
648675,25,0.045,0.089,0.089,0.072,0.085,-0.0121185559832427,0.194612263914236,-0.206730819897479
648675,30,0.045,0.09,0.091,0.072,0.08,-0.000443203377476517,0.202098975059116,-0.202542178436592
648675,35,0.042,0.09,0.088,0.077,0.081,0.00421599838131522,0.209771787428022,-0.205555789046707
648675,40,0.04,0.089,0.088,0.082,0.085,0.0108036373445347,0.220782468042277,-0.209978830697742
648675,45,0.042,0.091,0.091,0.078,0.087,0.0146813711848701,0.232706867666541,-0.218025496481671
648675,50,0.045,0.09,0.089,0.083,0.084,0.0209439422170895,0.238695169786877,-0.217751227569787
648675,55,0.04,0.092,0.088,0.08,0.086,0.0239601414347858,0.246548492311486,-0.2225883508767
648675,60,0.045,0.091,0.087,0.083,0.083,0.0291015200482471,0.24705725038339,-0.217955730335143
648675,65,0.048,0.089,0.084,0.083,0.084,0.0328463439979478,0.242808898357729,-0.209962554359781
648675,70,0.043,0.087,0.087,0.082,0.082,0.0373202542246133,0.2394454861393,-0.202125231914687
648675,75,0.042,0.088,0.086,0.084,0.081,0.0395949461809609,0.239391935201632,-0.199796989020671
648675,80,0.044,0.088,0.085,0.083,0.081,0.0430035504307466,0.242542751211942,-0.199539200781195
648675,85,0.045,0.089,0.085,0.084,0.083,0.0417755013898609,0.238896309531605,-0.197120808141744
648675,90,0.048,0.088,0.087,0.085,0.083,0.0408115061611584,0.240737197246136,-0.199925691084978
648675,95,0.041,0.086,0.086,0.084,0.082,0.0380084823277953,0.24480903075236,-0.206800548424564
648675,100,0.045,0.09,0.087,0.085,0.082,0.0402424073554249,0.246294552886731,-0.206052145531306
648675,105,0.042,0.088,0.088,0.084,0.081,0.0386966887922103,0.241661729489667,-0.202965040697457
648675,110,0.039,0.09,0.089,0.083,0.077,0.0372669707306006,0.242047971941356,-0.204781001210755
648675,115,0.043,0.088,0.089,0.084,0.075,0.0344736032712439,0.242648276381851,-0.208174673110608
648675,120,0.043,0.087,0.087,0.087,0.076,0.0341795793214984,0.247786735867972,-0.213607156546473
648675,125,0.045,0.087,0.087,0.088,0.076,0.0307718855337272,0.245811793633288,-0.215039908099561
648675,130,0.04,0.087,0.087,0.087,0.079,0.0308594214444211,0.245109468809347,-0.214250047364926
648675,135,0.044,0.087,0.086,0.086,0.079,0.0333643308840636,0.247582601762261,-0.214218270878197
648675,140,0.043,0.088,0.085,0.087,0.079,0.0339142457403037,0.249326259064488,-0.215412013324185
648675,145,0.041,0.088,0.089,0.088,0.08,0.0341059914664981,0.247701065308482,-0.213595073841984
648675,150,0.04,0.087,0.09,0.088,0.078,0.0347621397017721,0.247356279810824,-0.212594140109052
775464,5,0.066,0.09,0.088,0.053,0.07,-0.115463730735921,0.227897470036825,-0.343361200772746
775464,10,0.074,0.09,0.082,0.071,0.076,0.0645545147894594,0.338817988255284,-0.274263473465824
775464,15,0.063,0.087,0.081,0.077,0.067,0.0250952296135721,0.260416486976607,-0.235321257363035
775464,20,0.065,0.086,0.085,0.089,0.074,0.0463335985057119,0.270031856802174,-0.223698258296462
775464,25,0.06,0.084,0.081,0.081,0.07,0.024314480233353,0.272184820387493,-0.247870340154141
775464,30,0.066,0.084,0.081,0.082,0.074,0.0560901816161306,0.293938045123489,-0.237847863507358
775464,35,0.055,0.085,0.084,0.08,0.075,0.0289266465369219,0.261706611480817,-0.232779964943895
775464,40,0.05,0.087,0.084,0.082,0.073,0.0302451763227935,0.252291911331833,-0.222046735009039
775464,45,0.062,0.088,0.087,0.081,0.078,0.0317600875547078,0.266324455777114,-0.234564368222406
775464,50,0.056,0.088,0.089,0.079,0.079,0.0290001000168456,0.262066561162691,-0.233066461145846
775464,55,0.049,0.088,0.09,0.08,0.081,0.0266940755510721,0.259989200122216,-0.233295124571144
775464,60,0.057,0.089,0.088,0.083,0.078,0.0305468896702071,0.265085274135866,-0.234538384465659
775464,65,0.052,0.086,0.087,0.081,0.074,0.028674654290843,0.2646672246077,-0.235992570316857
775464,70,0.06,0.089,0.088,0.085,0.076,0.0310670026213258,0.258755819284303,-0.227688816662977
775464,75,0.066,0.087,0.089,0.083,0.075,0.0354727781229667,0.259284290415759,-0.223811512292793
775464,80,0.063,0.087,0.088,0.084,0.078,0.0356769138754336,0.25667481394786,-0.220997900072426
775464,85,0.06,0.087,0.089,0.085,0.077,0.0307479052261611,0.258518341285696,-0.227770436059535
775464,90,0.063,0.089,0.091,0.085,0.074,0.0367342945555876,0.261169482052589,-0.224435187497001
775464,95,0.055,0.089,0.091,0.087,0.077,0.0303888059196481,0.256422766333161,-0.226033960413513
775464,100,0.049,0.09,0.091,0.089,0.075,0.026033746055638,0.253812687289662,-0.227778941234024
775464,105,0.046,0.089,0.092,0.088,0.078,0.0270311238982591,0.253475683420563,-0.226444559522304
775464,110,0.047,0.089,0.091,0.088,0.079,0.0258423196058583,0.246012603124936,-0.220170283519078
775464,115,0.043,0.087,0.091,0.087,0.079,0.0227466638540973,0.245808046570626,-0.223061382716529
775464,120,0.044,0.088,0.088,0.086,0.078,0.0216952302239385,0.247354151349026,-0.225658921125087
775464,125,0.046,0.087,0.088,0.087,0.077,0.0218968578636476,0.249447275715758,-0.227550417852111
775464,130,0.045,0.088,0.088,0.088,0.077,0.0216637218805608,0.250978636759563,-0.229314914879002
775464,135,0.043,0.089,0.088,0.088,0.079,0.0256052431223684,0.253866100174536,-0.228260857052168
775464,140,0.046,0.089,0.088,0.088,0.077,0.0294995268263504,0.255156247774019,-0.225656720947669
775464,145,0.047,0.089,0.088,0.085,0.077,0.0286857127134423,0.255661014454565,-0.226975301741122
775464,150,0.05,0.09,0.088,0.086,0.076,0.0321799302231135,0.260029102303165,-0.227849172080052
706710,5,0.081,0.094,0.097,0.057,0.045,0.376695784456462,0.386464503761067,-0.00976871930460513
706710,10,0.094,0.103,0.097,0.064,0.086,0.370587443560955,0.392069858233569,-0.0214824146726136
706710,15,0.096,0.091,0.088,0.073,0.075,0.137009806917501,0.302166612941054,-0.165156806023553
706710,20,0.083,0.09,0.084,0.078,0.086,0.0910676961559097,0.306292061895122,-0.215224365739212
706710,25,0.064,0.097,0.092,0.08,0.09,0.0346444316057214,0.276205482772218,-0.241561051166497
706710,30,0.07,0.098,0.091,0.081,0.089,0.0221435451884058,0.262454869877048,-0.240311324688642
706710,35,0.069,0.093,0.092,0.081,0.089,0.0270469369957973,0.2518638580888,-0.224816921093002
706710,40,0.065,0.088,0.089,0.08,0.084,0.0293989128672836,0.239799852385868,-0.210400939518584
706710,45,0.071,0.092,0.089,0.082,0.084,0.0406399113501913,0.251823248360057,-0.211183337009866
706710,50,0.066,0.087,0.088,0.083,0.084,0.0230267020984689,0.249715318969011,-0.226688616870543
706710,55,0.061,0.086,0.084,0.083,0.083,0.0238372099884202,0.255097055739799,-0.231259845751379
706710,60,0.056,0.085,0.087,0.083,0.087,0.0240009418235333,0.255793958918152,-0.231793017094618
706710,65,0.064,0.086,0.086,0.085,0.087,0.0373225589264127,0.268414099639194,-0.231091540712782
706710,70,0.052,0.086,0.086,0.086,0.087,0.0263044928780729,0.258755017094708,-0.232450524216635
706710,75,0.057,0.088,0.087,0.088,0.087,0.0363513748550931,0.264110209586948,-0.227758834731855
706710,80,0.062,0.087,0.089,0.089,0.086,0.0356520750822475,0.262500286164046,-0.226848211081799
706710,85,0.063,0.089,0.089,0.088,0.089,0.0342521916215772,0.256262373677114,-0.222010182055536
706710,90,0.066,0.089,0.089,0.087,0.084,0.0326302292132881,0.25594475547103,-0.223314526257742
706710,95,0.062,0.088,0.087,0.086,0.081,0.0324225599301523,0.250310887454222,-0.21788832752407
706710,100,0.059,0.086,0.088,0.085,0.083,0.0280466391063767,0.249853275416321,-0.221806636309944
706710,105,0.061,0.087,0.089,0.086,0.078,0.0319330210049892,0.252969723177538,-0.221036702172549
706710,110,0.065,0.087,0.089,0.085,0.077,0.0362704022075704,0.259315438327299,-0.223045036119728
706710,115,0.064,0.086,0.087,0.087,0.08,0.0336705455005917,0.255484550869622,-0.22181400536903
706710,120,0.066,0.087,0.09,0.086,0.081,0.0380030132572176,0.257576933268831,-0.219573920011613
706710,125,0.063,0.088,0.09,0.088,0.081,0.0357826687844419,0.25675757784773,-0.220974909063288
706710,130,0.061,0.088,0.09,0.089,0.078,0.0325324723723176,0.256284808756158,-0.223752336383841
706710,135,0.064,0.088,0.089,0.091,0.076,0.0329738516761426,0.258964851648555,-0.225990999972413
