label,UKB_DIFF,ENIGMA_DIFF,SCZ,OCD,BD,MDD,CHR,PD,EPI,LIFE_AGE,young_age_r,middle_age_r,old_age_r,
L_bankssts_thickavg,-0.257041544,-0.26456182,-0.352,-0.06,-0.207,-0.058,-0.09,-0.136,-0.092,0.35,-0.401,-0.216,-0.176,
L_caudalanteriorcingulate_thickavg,-0.139396259,-0.072594968,-0.119,0.003,-0.095,-0.042,-0.08,0.05,0.039,0.13,-0.278,-0.056,0.073,
L_caudalmiddlefrontal_thickavg,-0.341272115,-0.369300109,-0.363,-0.09,-0.266,-0.014,-0.12,-0.163,-0.319,0.38,-0.383,-0.258,-0.163,
L_cuneus_thickavg,-0.082439569,-0.213048128,-0.203,-0.042,-0.056,0.047,0.01,-0.138,-0.157,0.29,-0.385,-0.159,-0.11,
L_entorhinal_thickavg,-0.068087007,-0.106802673,-0.203,-0.062,-0.036,-0.041,-0.02,-0.112,-0.264,0.01,0.008,-0.004,-0.198,
L_fusiform_thickavg,-0.284733148,-0.297690059,-0.491,-0.109,-0.288,-0.117,-0.17,-0.25,-0.187,0.28,-0.343,-0.182,-0.173,
L_inferiorparietal_thickavg,-0.322042336,-0.298473663,-0.362,-0.14,-0.265,-0.063,-0.16,-0.238,-0.197,0.46,-0.52,-0.23,-0.263,
L_inferiortemporal_thickavg,-0.268323291,-0.218184471,-0.449,-0.087,-0.25,-0.049,-0.13,-0.241,-0.085,0.22,-0.31,-0.144,-0.092,
L_isthmuscingulate_thickavg,-0.191921361,-0.249297226,-0.309,-0.068,-0.132,-0.104,-0.03,-0.199,-0.049,0.33,-0.362,-0.224,-0.147,
L_lateraloccipital_thickavg,-0.232474339,-0.269895992,-0.331,-0.074,-0.156,-0.023,-0.12,-0.197,-0.19,0.25,-0.381,-0.088,-0.233,
L_lateralorbitofrontal_thickavg,-0.26452895,-0.247398669,-0.398,-0.096,-0.216,-0.046,-0.08,-0.16,-0.066,0.41,-0.48,-0.191,-0.146,
L_lingual_thickavg,-0.214291441,-0.271792451,-0.349,-0.052,-0.208,0.006,-0.04,-0.137,-0.178,0.37,-0.404,-0.216,-0.224,
L_medialorbitofrontal_thickavg,-0.25681036,-0.174682297,-0.231,-0.084,-0.199,-0.134,-0.13,-0.116,0.005,0.29,-0.396,-0.153,-0.067,
L_middletemporal_thickavg,-0.472247604,-0.203020075,-0.444,-0.093,-0.252,-0.09,-0.1,-0.197,-0.199,0.38,-0.385,-0.218,-0.227,
L_parahippocampal_thickavg,-0.136835708,-0.131754706,-0.277,-0.059,-0.022,-0.072,-0.13,-0.138,-0.104,0.11,-0.171,-0.105,-0.129,
L_paracentral_thickavg,-0.231758649,-0.409538675,-0.253,-0.013,-0.137,-0.003,-0.15,-0.136,-0.311,0.37,-0.427,-0.225,-0.198,
L_parsopercularis_thickavg,-0.353206014,-0.205076665,-0.375,-0.083,-0.293,-0.063,-0.05,-0.026,-0.153,0.46,-0.424,-0.325,-0.164,
L_parsorbitalis_thickavg,-0.109304254,-0.117745557,-0.319,-0.05,-0.246,-0.073,-0.06,-0.129,-0.149,0.32,-0.386,-0.214,-0.093,
L_parstriangularis_thickavg,-0.295114357,-0.186733996,-0.341,-0.032,-0.27,-0.054,0.01,-0.066,-0.192,0.44,-0.447,-0.29,-0.109,
L_pericalcarine_thickavg,-0.111637912,-0.097430491,-0.077,0.011,0.02,0.094,0.02,-0.073,-0.13,0.19,-0.274,-0.142,-0.122,
L_postcentral_thickavg,-0.206660624,-0.184472838,-0.261,-0.023,-0.096,0.036,-0.1,-0.142,-0.125,0.36,-0.382,-0.226,-0.226,
L_posteriorcingulate_thickavg,-0.248684167,-0.341977144,-0.298,-0.071,-0.112,-0.099,-0.11,-0.098,-0.083,0.43,-0.487,-0.254,-0.083,
L_precentral_thickavg,-0.336061917,-0.34605902,-0.343,-0.023,-0.211,-0.02,-0.13,-0.129,-0.384,0.41,-0.278,-0.29,-0.321,
L_precuneus_thickavg,-0.242537185,-0.423442384,-0.301,-0.097,-0.209,-0.024,-0.11,-0.203,-0.248,0.51,-0.543,-0.262,-0.294,
L_rostralanteriorcingulate_thickavg,-0.285908721,-0.1747464,-0.182,-0.074,-0.153,-0.13,-0.11,0.007,-0.012,0.23,-0.326,-0.129,0.032,
L_rostralmiddlefrontal_thickavg,-0.335307175,-0.231942869,-0.362,-0.095,-0.276,-0.037,-0.13,-0.119,-0.145,0.44,-0.5,-0.227,-0.092,
L_superiorfrontal_thickavg,-0.50618061,-0.480579199,-0.425,-0.069,-0.233,-0.066,-0.11,-0.129,-0.283,0.52,-0.503,-0.31,-0.239,
L_superiorparietal_thickavg,-0.268280792,-0.341026344,-0.209,-0.062,-0.161,-0.005,-0.1,-0.19,-0.287,0.39,-0.484,-0.176,-0.266,
L_superiortemporal_thickavg,-0.263496468,-0.276295113,-0.44,-0.007,-0.209,0.012,-0.12,-0.121,-0.18,0.4,-0.312,-0.285,-0.37,
L_supramarginal_thickavg,-0.279117291,-0.280356522,-0.395,-0.052,-0.253,-0.045,-0.11,-0.164,-0.232,0.47,-0.47,-0.279,-0.269,
L_frontalpole_thickavg,-0.202237228,-0.080403713,-0.214,-0.048,-0.118,-0.011,-0.05,-0.014,-0.078,0.15,-0.244,-0.096,-0.02,
