"geneSet","true.mean","true.median","true.meanabs","true.meansqr","true.maxmean","true.sig_n","true.sign_test","true.rank_sum","true.ks_orig","true.ks_weighted","null_upper25.mean","null_upper25.median","null_upper25.meanabs","null_upper25.meansqr","null_upper25.maxmean","null_upper25.sig_n","null_upper25.sign_test","null_upper25.rank_sum","null_upper25.ks_orig","null_upper25.ks_weighted","null_lower25.mean","null_lower25.median","null_lower25.meanabs","null_lower25.meansqr","null_lower25.maxmean","null_lower25.sig_n","null_lower25.sign_test","null_lower25.rank_sum","null_lower25.ks_orig","null_lower25.ks_weighted","null_upper5.mean","null_upper5.median","null_upper5.meanabs","null_upper5.meansqr","null_upper5.maxmean","null_upper5.sig_n","null_upper5.sign_test","null_upper5.rank_sum","null_upper5.ks_orig","null_upper5.ks_weighted","null_lower5.mean","null_lower5.median","null_lower5.meanabs","null_lower5.meansqr","null_lower5.maxmean","null_lower5.sig_n","null_lower5.sign_test","null_lower5.rank_sum","null_lower5.ks_orig","null_lower5.ks_weighted","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.sign_test","pvals.rank_sum","pvals.ks_orig","pvals.ks_weighted","null_brain"
"Astrocyte",-0.255048691239841,-0.374515006300205,0.392614348108146,0.181117740885224,-0.416354811009421,28,-3.94640014115068,12103,-0.322344322344322,-0.407918646763148,0.101138032719614,0.249876314443498,0.421493800368805,0.205675799423087,0.434291396820256,36,0.136082763487954,36705,0.182743182743183,0.264582934229102,-0.118105891273251,-0.274364657369075,0.333056659946516,0.139858792445883,-0.447670232635954,13,-2.04124145231932,20823.95,-0.182132682132682,-0.277304289187899,0.0823401207747066,0.223719246137905,0.414731319379598,0.199784761403886,0.421724101960015,34,0.136082763487954,35638.4,0.164224664224664,0.242530697199175,-0.10043854001549,-0.243586671701638,0.340199112369874,0.144638170466011,-0.437026070161557,15,-1.76907592534341,22413.35,-0.164438339438339,-0.256691273115965,0.000173550850399167,0.000578927055191046,0.248875112488751,0.277872212778722,0.24996004474988,0.340565943405659,0.000111656989727557,0.999900009999,0.000197277569540343,0.000365697568111172,1
"CA1.Pyramidal",-0.184706403606091,-0.314080421713412,0.383401211280534,0.181297616642194,-0.400788248858372,51,-4.13838296829003,33270,-0.228155339805825,-0.325999353769269,0.0694886468255804,0.20585989316725,0.408662581495451,0.195774624811142,0.415073338772329,62,0,68320.075,0.135058401606296,0.217677539815045,-0.0875800102326168,-0.226818698922878,0.345048711497114,0.147985984878415,-0.429725662307045,32,-2.16772441196145,46778.525,-0.133592011256975,-0.231723240145205,0.0569806443776369,0.180308500556749,0.403820390206343,0.191756449624549,0.407226005795555,60,0,66897.05,0.121371318904622,0.199419923467148,-0.0760091994286192,-0.191043548527929,0.351176719761383,0.152272299681267,-0.421941271984453,35,-1.77359270069573,48912.3,-0.120518780440603,-0.213715965260704,0.000169721656483367,0.00170035896467032,0.362963703629637,0.207879212078792,0.346351801392673,0.357664233576642,0.000118525542254356,1,0.000200521355524363,0.000183688464364438,1
"Endothelial",0.0310030648153623,0.104293971548931,0.351874434176276,0.158464731675499,0.363733624042056,19,-0.264906471413009,29298,0.100030026165659,0.150403499338396,0.0967461647869405,0.243956620093393,0.421206771999697,0.205319785465935,0.432819191953641,37,0,38732.3,0.179517329387037,0.258212461417706,-0.11513795983552,-0.272424363471792,0.333231235255402,0.14044405282776,-0.446368193176962,15,-2.11925177130407,22378.875,-0.17689808261485,-0.271600656569844,0.0806628571436258,0.223292352375058,0.414775554394628,0.200148213329345,0.421492521487027,36,0,37738,0.160857675974778,0.237640187682848,-0.0976446135853812,-0.244377415820063,0.340865701181786,0.144974287358292,-0.436352528174991,17,-1.85434529989106,23987.15,-0.15912473727105,-0.25064339636558,0.520554381019497,0.564773452456924,0.873012698730127,0.781421857814219,0.879129522810697,0.909209079092091,1,0.710628937106289,0.587301587301587,0.74447391688771,1
"Ependymal",-0.0675086104229796,-0.200927862547453,0.380342755132307,0.172340507924827,-0.408907768550479,47,-0.763762615825973,43592,-0.11707575490023,-0.216081253152239,0.0768842310630105,0.215179458788821,0.413034990322743,0.199163732235403,0.421459127577857,52,0.109108945117996,56307.075,0.14774412855377,0.23051867627179,-0.0972310556275593,-0.238543232918952,0.341344192299857,0.145364616888884,-0.434871934739345,24,-2.07306995724193,36533,-0.14840889693331,-0.24392241876811,0.0622985959030125,0.191812412103381,0.407539375176546,0.194203070552119,0.412562824666584,50,0.109108945117996,54902.05,0.13291026546589,0.211614215555049,-0.0827451097226227,-0.206972280357473,0.347266362700782,0.149283831298086,-0.426696374404057,27,-1.85485206700594,38537.3,-0.132278238860439,-0.225207685670102,0.156546811397558,0.107287060180734,0.442455754424558,0.471252874712529,0.265632273079907,0.143885611438856,0.47527352297593,0.776622337766223,0.192536720921,0.121889650198341,1
"Interneuron",0.0173354321454395,0.0572522225125862,0.357388679707722,0.155281973709636,0.360311646012655,30,-0.3,53786,0.108627125673994,0.141900630504084,0.0688599378176941,0.204442446624233,0.409726110564468,0.196533111212185,0.416622717547032,61,0.1,66510.2,0.136895271671506,0.216554104302083,-0.0881336788549451,-0.224003304884352,0.343776012158665,0.147637580277089,-0.430873714323776,30,-2.1,44993,-0.136709145582746,-0.228610867029404,0.0576346186448623,0.17951503423208,0.404771015930327,0.192435238034375,0.408843174998493,59,0.1,65213.8,0.122659892160929,0.200736265433955,-0.0755895738740032,-0.193111712396853,0.349743969434477,0.151360600879857,-0.422833047781714,33,-1.9,46967.95,-0.122697843218581,-0.213195467631722,0.629784102060844,0.635985006247397,0.882711728827117,0.907309269073093,0.934190846545019,0.978802119788021,0.829115293099719,0.725727427257274,0.194748358862144,0.65884476534296,1
"Microglia",-0.200676666753363,-0.318899426667481,0.388319941997294,0.173842852566553,-0.428361170000478,25,-2.45373864405591,13600,-0.259033698741372,-0.342672572560872,0.105205650173746,0.261648888215004,0.425127141472161,0.20863511171166,0.437943116173583,32,0.144337567297406,32771,0.193338915956151,0.274650644160256,-0.124350767832573,-0.28738112321684,0.32855187591595,0.136347549855938,-0.452618638533797,11,-2.1650635094611,18204.175,-0.192605562322371,-0.289669315810459,0.0861587980483313,0.231640183217849,0.41743003532976,0.202257297613009,0.425493846332723,31,0.144337567297406,31809,0.174964474218433,0.250449274830366,-0.105833184837873,-0.256754639797269,0.336370859418524,0.141630203859765,-0.441221385869516,13,-1.87638837486628,19652.7,-0.173572624847747,-0.264812789151489,0.000527704485488127,0.0189601250977326,0.328467153284672,0.437156284371563,0.166882906260136,0.352164783521648,0.0136153932710701,0.998600139986001,0.0025706940874036,0.00529873926548511,1
"Mural",-0.0666964319711977,-0.230851969758072,0.359821403705069,0.151796732500616,0.366406214667339,7,10,11792,-0.119533386967015,-0.172386011649179,0.150226702488955,0.319099909364703,0.44337066237565,0.222405354442863,0.465611207706162,18,12,17616,0.263722445695897,0.348308641731452,-0.173334041496502,-0.354329709455031,0.311582536638376,0.12523921456593,-0.478076106543112,4,7,7168.875,-0.265197103781175,-0.368377455802129,0.124987451700022,0.287127992603638,0.433313346704441,0.214596139365597,0.450650807872645,18,12,16872,0.238601769911504,0.314358136788106,-0.147982291804924,-0.324013412025199,0.321770180100096,0.131521803327714,-0.463464735329441,5,8,8095.95,-0.239727272727273,-0.335200994318257,0.448180815876516,0.32182103610675,0.700529947005299,0.778622137786221,0.818955329709289,0.909109089091091,0.774222577742226,0.658634136586341,0.819967923015237,0.838926174496644,1
"Oligodendrocyte",0.0602736747540395,0.158736071260053,0.370087060301519,0.170220413391462,-0.371776062656975,29,-1.16189500386223,32183,0.143247654018768,0.193165270464211,0.0955909479056699,0.243556210483949,0.419686974133085,0.203924959073792,0.430505594955771,39,0.129099444873581,40580.05,0.175764993880049,0.256944684244985,-0.113091487157996,-0.271720069959344,0.334412882893759,0.140658828443342,-0.444669286620467,16,-2.19469056285087,24068.85,-0.175764993880049,-0.270718960190735,0.0780854307747174,0.21867278718902,0.413549159273369,0.198874857838146,0.421633692371941,38,0.129099444873581,39528.05,0.15875152998776,0.23674273726792,-0.0970458211746787,-0.24139029317001,0.341460526377518,0.145271727761078,-0.434622751385,18,-1.93649167310371,25685.95,-0.158348633210934,-0.247383683751414,0.223136609452151,0.298910766652702,0.638936106389361,0.529047095290471,0.840726454516233,0.484151584841516,0.269927737632018,0.61973802619738,0.16810086051631,0.341436464088398,1
"S1.Pyramidal",0.078802594052593,0.272573583046327,0.384996656008522,0.171140167255317,0.393690061098388,35,-1.40449376635357,37184,0.171244114308832,0.216186182730001,0.0831268903748925,0.230769196575197,0.415979414719247,0.200860804034586,0.425010081441808,46,0,49043.175,0.158762937282974,0.239131502287469,-0.102371565995865,-0.253564078949339,0.339625936463535,0.143990556590765,-0.438420329859729,20,-2.10674064953035,30495.575,-0.159431995684763,-0.253025186420614,0.06979436636606,0.203816286575656,0.409388644207853,0.195804191629736,0.416026607796722,44,0,47890.1,0.143416454088799,0.219376752556912,-0.0877570830830524,-0.224994057076771,0.345425389517985,0.147894515160268,-0.429441537296773,22,-1.87265835513809,32330.8,-0.142442435411914,-0.233621438355858,0.0753118380795481,0.0108333333333333,0.347365263473653,0.4996500349965,0.433843630399125,0.48015198480152,0.186428130783467,0.784021597840216,0.0263571990558615,0.122210184182015,1
"Astrocyte",-0.345356469032436,-0.519035910032019,0.529025609930839,0.329250525268101,-0.575812588585571,41,-3.67423461417477,12335,-0.29039479039479,-0.433078365789304,0.104500781819835,0.300946039720941,0.548708120764047,0.346944791092989,0.51089570964279,44,0.136082763487954,36042.075,0.185597273097273,0.246187640684083,-0.183364465975312,-0.390846504699335,0.431791607036454,0.234459054997102,-0.619164887050921,30,-2.04124145231932,19798.775,-0.185403947903948,-0.297751721715773,0.0797680295072594,0.271646047256101,0.538673367115128,0.338578824114926,0.482349919776606,43,0.136082763487954,35018.05,0.167073667073667,0.220942788340493,-0.161194321004713,-0.349117415029497,0.440458722959741,0.243130386166939,-0.60527567364724,31,-1.76907592534341,21299.8,-0.16525234025234,-0.277419724573699,0.000281175312807536,0.000413564929693962,0.0968903109689031,0.0915908409159084,0.185745140388769,0.234976502349765,0.000335120643431635,0.999700029997,0.000398644608331672,0.000151011778918756,2
