"geneSet","true.mean","true.median","true.meanabs","true.meansqr","true.maxmean","true.sig_n","true.sign_test","true.rank_sum","true.ks_orig","true.ks_weighted","null_upper25.mean","null_upper25.median","null_upper25.meanabs","null_upper25.meansqr","null_upper25.maxmean","null_upper25.sig_n","null_upper25.sign_test","null_upper25.rank_sum","null_upper25.ks_orig","null_upper25.ks_weighted","null_lower25.mean","null_lower25.median","null_lower25.meanabs","null_lower25.meansqr","null_lower25.maxmean","null_lower25.sig_n","null_lower25.sign_test","null_lower25.rank_sum","null_lower25.ks_orig","null_lower25.ks_weighted","null_upper5.mean","null_upper5.median","null_upper5.meanabs","null_upper5.meansqr","null_upper5.maxmean","null_upper5.sig_n","null_upper5.sign_test","null_upper5.rank_sum","null_upper5.ks_orig","null_upper5.ks_weighted","null_lower5.mean","null_lower5.median","null_lower5.meanabs","null_lower5.meansqr","null_lower5.maxmean","null_lower5.sig_n","null_lower5.sign_test","null_lower5.rank_sum","null_lower5.ks_orig","null_lower5.ks_weighted","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.sign_test","pvals.rank_sum","pvals.ks_orig","pvals.ks_weighted","null_brain"
"Astrocyte",-0.255048691239841,-0.374515006300205,0.392614348108146,0.181117740885224,-0.416354811009421,28,-3.94640014115068,12103,-0.322344322344322,-0.407918646763148,0.198287555691697,0.299610829532179,0.354851024907006,0.14875095314018,0.343362582485934,21,-0.136082763487954,30921.3,0.340053927553927,0.507453621152296,-0.194352537676031,-0.282814943200014,0.0780126405019839,0.0100418321093651,-0.333544242613831,0,-4.7628967220784,7984.825,-0.33945868945869,-0.503218484496795,0.167940394935732,0.245736184349771,0.314991605148627,0.120509848997598,0.288920221052152,3,-0.136082763487954,29638.05,0.314000814000814,0.474432686971219,-0.160947207927916,-0.240233720125409,0.0840196847279896,0.0115789492194726,-0.289207378139602,0,-4.49073119510249,9126.95,-0.319088319088319,-0.474533477597679,0.00803981623277182,0.00877862595419847,0.0105978804239152,0.0101979604079184,0.0115216527612237,0.0147970405918816,0.186902582875737,0.825434913017396,0.0864149474503698,0.29,1
"CA1.Pyramidal",-0.184706403606091,-0.314080421713412,0.383401211280534,0.181297616642194,-0.400788248858372,51,-4.13838296829003,33270,-0.228155339805825,-0.325999353769269,0.154228550945204,0.262011302946617,0.347027320428115,0.145447014429188,0.326796101595449,33.0249999999996,0,61472.15,0.260853082766184,0.418777501496614,-0.154662362137495,-0.254202131717185,0.0814370218289911,0.0109507354309777,-0.332619844125842,0,-5.32077810208718,21722.65,-0.272636619843241,-0.441453043633426,0.130734780932457,0.213947910837946,0.31080400545558,0.117911830659391,0.282175022912743,5,-0.197065855632859,59452.2,0.244189876786117,0.393957719922198,-0.129806105394906,-0.204078614845037,0.0869720652974281,0.0121912180843585,-0.287026365835506,0,-4.92664639082147,24598.65,-0.256809824855659,-0.416890814198005,0.018042226487524,0.0110350076103501,0.00959808038392321,0.00959808038392321,0.011047619047619,0.0123975204959008,0.247177171012113,0.779644071185763,0.253256704980843,0.411948457633737,1
"Endothelial",0.0310030648153623,0.104293971548931,0.351874434176276,0.158464731675499,0.363733624042056,19,-0.264906471413009,29298,0.100030026165659,0.150403499338396,0.0901243897689632,0.146853870910227,0.321202936710162,0.127077873832618,0.31199388077596,11,0,37078.05,0.194312722515335,0.384896908607231,-0.0785238028572716,-0.126102698210841,0.0854808842597615,0.0117217158403026,-0.308686656315185,0,-3.17887765695611,15582.6,-0.197959829279801,-0.392211182199749,0.0763952352365485,0.117342635585108,0.290576415366121,0.105056726755995,0.269126530349772,3,0,36014,0.176084159052889,0.3560522726074,-0.0681455062862363,-0.101170346539013,0.0917098930365351,0.0132805923720146,-0.276514714521466,0,-2.9139711855431,17667.9,-0.179476043409257,-0.361441657260458,0.494280078895463,0.135854882284832,0.0125974805038992,0.0101979604079184,0.0167644593461861,0.0153969206158768,1,0.413917216556689,0.750858450972911,0.934327155519742,1
"Ependymal",-0.0675086104229796,-0.200927862547453,0.380342755132307,0.172340507924827,-0.408907768550479,47,-0.763762615825973,43592,-0.11707575490023,-0.216081253152239,0.0805643689685003,0.136843725917174,0.34965130574672,0.144912057999522,0.3058267935493,26,0.109108945117996,54170.625,0.195956942727647,0.357570876890958,-0.0830069117580142,-0.162948494109976,0.0820501693229808,0.0108134457658824,-0.349226936599686,0,-3.60059518889387,26775.4,-0.186432397433634,-0.345709740687766,0.0668124457994575,0.11155305070881,0.312303959172769,0.117814370372005,0.254256815504099,4,-0.109108945117996,52811.75,0.174656395314615,0.33229895586767,-0.0694316000222089,-0.127071818049053,0.0881289284915986,0.0125236996632595,-0.309361289866248,0,-3.16415940842189,29578.35,-0.169552357407734,-0.325553745345157,0.106170946722882,0.0184313725490196,0.0121975604879024,0.0115976804639072,0.0163002274450341,0.00819836032793441,0.739383846794338,0.472905418916217,0.430124223602484,0.608160123171671,1
"Interneuron",0.0173354321454395,0.0572522225125862,0.357388679707722,0.155281973709636,0.360311646012655,30,-0.3,53786,0.108627125673994,0.141900630504084,0.0524861395490264,0.0842689143348804,0.338777427184851,0.138691468494884,0.3175933018368,26,0.1,65892.325,0.150130858564911,0.304972364449416,-0.0547761555069306,-0.0657959461172128,0.0853437518599727,0.011940076512034,-0.321393180896387,0,-3.1,35414.925,-0.155109083367897,-0.326065835118268,0.0442172001686255,0.0673660492145454,0.304222498595932,0.112291274469861,0.276824658720669,4,0.1,64762.15,0.13263894649523,0.277316257902645,-0.0450151341435932,-0.0539434902087979,0.0904383092254272,0.0133284472955075,-0.285874031515681,0,-2.5,39781.75,-0.137763168809622,-0.296846536199478,0.498785425101215,0.142637447135717,0.0151969606078784,0.01499700059988,0.0282311424790472,0.021995600879824,0.835031432907002,0.620475904819036,0.240762349280436,0.921511627906977,1
"Microglia",-0.200676666753363,-0.318899426667481,0.388319941997294,0.173842852566553,-0.428361170000478,25,-2.45373864405591,13600,-0.259033698741372,-0.342672572560872,0.161766294617497,0.266434499210329,0.353420567830447,0.147676845208219,0.332611311099845,15,0.144337567297406,29451.15,0.294087494924888,0.478071037904303,-0.15851801152448,-0.252906255913115,0.08393933083865,0.0111213001548832,-0.360589749550226,0,-3.60843918243516,9707.45,-0.298543442955745,-0.495090814327872,0.134534256675804,0.219193073301777,0.318738343984037,0.121210721327794,0.284409335546388,6,-0.144337567297406,28021.2,0.274563540397889,0.439472919496358,-0.129148271324207,-0.203007571655163,0.0903353178208611,0.0129754772861757,-0.306722017519857,0,-3.31976404784035,11138.85,-0.276441331709298,-0.450407711477016,0.0101483216237315,0.0131528046421663,0.0107978404319136,0.0113977204559088,0.0111153698735148,0.00819836032793441,0.406320541760722,0.867626474705059,0.156501726121979,0.386909372579396,1
"Mural",-0.0666964319711977,-0.230851969758072,0.359821403705069,0.151796732500616,0.366406214667339,7,10,11792,-0.119533386967015,-0.172386011649179,0.0850446059689757,0.176746957918108,0.34198982878583,0.143944512384678,0.350361943207512,8,12,16939.15,0.233001206757844,0.379972153745259,-0.0742988248280322,-0.160028343149756,0.0790860183082326,0.0101518169175039,-0.315270575758706,0,7,7963.75,-0.2447747385358,-0.403617330341868,0.0718230343404973,0.140760071935225,0.310052329221196,0.118851199545875,0.305964707386596,3,12,16251.25,0.214345132743363,0.353289454576301,-0.0645301733937698,-0.12464404990253,0.0856466042645425,0.0117267217333655,-0.269092266968518,0,8,8948.45,-0.222960579243765,-0.371003539439676,0.0823842065299924,0.00741839762611276,0.0177964407118576,0.0203959208158368,0.0397196261682243,0.0347930413917217,0.737052589482104,0.667666466706659,0.843382631778536,0.954454654414702,1
"Oligodendrocyte",0.0602736747540395,0.158736071260053,0.370087060301519,0.170220413391462,-0.371776062656975,29,-1.16189500386223,32183,0.143247654018768,0.193165270464211,0.106970916477324,0.181908828883101,0.339056868689297,0.138114269804358,0.350544299587298,17,0.129099444873581,37634.15,0.226542227662179,0.423499322972941,-0.0928976611310202,-0.156067642911169,0.0797295025810053,0.00997809211606107,-0.297398223229465,0,-3.74388390133384,13787.7,-0.227400040799674,-0.445174280697062,0.0914979018505361,0.144840531914923,0.306308469443425,0.114472754332886,0.310799216197784,4,-0.129099444873581,36519.15,0.202919216646267,0.384725998186779,-0.0770496382206887,-0.125923286387742,0.0863462169656164,0.0118213931413559,-0.25494528188007,0,-3.22748612183951,16054.55,-0.206222970216238,-0.409613387161522,0.269558481797057,0.0813072937425269,0.0123975204959008,0.0113977204559088,0.014365522745411,0.010997800439912,0.600501462599248,0.268546290741852,0.416144200626959,0.773823191733639,1
"S1.Pyramidal",0.078802594052593,0.272573583046327,0.384996656008522,0.171140167255317,0.393690061098388,35,-1.40449376635357,37184,0.171244114308832,0.216186182730001,0.103796052553207,0.174542050650074,0.335753246474797,0.137165206702968,0.342651973827188,19,0,47056.125,0.238849635339993,0.425239175750018,-0.0872392000981642,-0.128390076057546,0.0851672836164747,0.0118429344190422,-0.306972325017568,0,-3.74531671027618,18953,-0.255573005045681,-0.448254557928318,0.089101190566845,0.142108029322169,0.304883453594884,0.113148602787112,0.300631002463759,4,0,45764.15,0.21161124658658,0.388056671704453,-0.0747332184010267,-0.105365647571782,0.0914014552423459,0.0132872712299848,-0.256759799309842,0,-3.51123441588392,21604.25,-0.232273534336476,-0.410630313097903,0.151281008540057,0.00570264765784114,0.00799840031993601,0.00959808038392321,0.0188370188370188,0.00879824035192961,0.528156621205455,0.440111977604479,0.271801140994295,0.713814432989691,1
"Astrocyte",-0.345356469032436,-0.519035910032019,0.529025609930839,0.329250525268101,-0.575812588585571,41,-3.67423461417477,12335,-0.29039479039479,-0.433078365789304,0.19441216682943,0.299294205462155,0.391575485714385,0.187086537132876,0.356529176769845,28,-0.136082763487954,30879.325,0.311151811151811,0.464544701421919,-0.203291489688296,-0.304956002005579,0.0809076435403762,0.0108840076456316,-0.366714205095659,0,-4.49073119510249,9077.675,-0.334147334147334,-0.488028717666708,0.158177704211885,0.232532366150594,0.342675416438711,0.140254347007718,0.295340128595749,17,-0.136082763487954,29690.3,0.291615791615792,0.432672398261931,-0.16760093670665,-0.245274298261897,0.0872766774452895,0.0126616882803416,-0.311888001543727,0,-4.21856566812658,10458.9,-0.312382987382987,-0.456798413156852,0.00316831683168317,0.00390472471690746,0.0025994801039792,0.0027994401119776,0.00277667592225307,0.00339932013597281,0.215846436593833,0.886422715456909,0.200240288346015,0.153631284916201,2
