"geneSet","mean","median","meanabs","meansqr","maxmean","sig_n","sign_test","rank_sum","ks_orig","ks_weighted"
"GO:0000149",0,0,0,0,0,0,0,0,0,0
"GO:0000287",0.142857142857143,0,0,0,0,0,0,0,0,0.142857142857143
"GO:0001216",0,0.142857142857143,0,0,0,0,0.142857142857143,0,0.428571428571429,0.285714285714286
"GO:0001217",0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,0.285714285714286,0,0.857142857142857,0,0.857142857142857,0.714285714285714
"GO:0001221",0,0,0,0,0,0,0,0,0,0
"GO:0001227",0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,0.285714285714286,0,0.857142857142857,0,0.857142857142857,0.714285714285714
"GO:0001228",0,0.428571428571429,0,0,0,0,0.142857142857143,0,0.428571428571429,0.285714285714286
"GO:0001540",0,0,0,0,0,0,0,0,0,0
"GO:0001618",0,0,0,0,0,0,0,0,0,0
"GO:0001653",0,0,0,0,0,0,0,0,0,0
"GO:0001664",0.714285714285714,0.571428571428571,0,0,0,0,0.285714285714286,0,0.714285714285714,0.571428571428571
"GO:0001786",0,0,0,0,0,0,0,0,0,0
"GO:0001882",0.142857142857143,0,0,0,0,0,0.142857142857143,0,0,0
"GO:0001883",0.142857142857143,0,0,0,0,0,0.285714285714286,0,0,0
"GO:0002020",0.142857142857143,0,0,0,0,0,0,0,0,0.142857142857143
"GO:0002039",0,0,0,0,0,0,0,0,0,0
"GO:0003678",0,0,0,0,0,0,0,0,0,0
"GO:0003682",0.857142857142857,0.857142857142857,0,0,0,0,0.714285714285714,0,0.857142857142857,0.857142857142857
"GO:0003697",0,0,0,0,0,0,0,0,0,0
"GO:0003712",0.857142857142857,0.571428571428571,0,0,0,0,0.285714285714286,0,0.714285714285714,0.857142857142857
"GO:0003713",0,0,0,0,0,0,0,0,0,0
"GO:0003714",0,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0.142857142857143
"GO:0003724",0,0.571428571428571,0,0,0,0,0,0,0.142857142857143,0
"GO:0003725",0,0,0,0,0,0,0,0,0,0
