"geneSet","true.mean","true.median","true.meanabs","true.meansqr","true.maxmean","true.sig_n","true.sign_test","true.rank_sum","true.ks_orig","true.ks_weighted","null_upper25.mean","null_upper25.median","null_upper25.meanabs","null_upper25.meansqr","null_upper25.maxmean","null_upper25.sig_n","null_upper25.sign_test","null_upper25.rank_sum","null_upper25.ks_orig","null_upper25.ks_weighted","null_lower25.mean","null_lower25.median","null_lower25.meanabs","null_lower25.meansqr","null_lower25.maxmean","null_lower25.sig_n","null_lower25.sign_test","null_lower25.rank_sum","null_lower25.ks_orig","null_lower25.ks_weighted","null_upper5.mean","null_upper5.median","null_upper5.meanabs","null_upper5.meansqr","null_upper5.maxmean","null_upper5.sig_n","null_upper5.sign_test","null_upper5.rank_sum","null_upper5.ks_orig","null_upper5.ks_weighted","null_lower5.mean","null_lower5.median","null_lower5.meanabs","null_lower5.meansqr","null_lower5.maxmean","null_lower5.sig_n","null_lower5.sign_test","null_lower5.rank_sum","null_lower5.ks_orig","null_lower5.ks_weighted","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.sign_test","pvals.rank_sum","pvals.ks_orig","pvals.ks_weighted","null_brain"
"GO:0000149",0.0424979567231816,0.0375098323730213,0.335595736722485,0.146473597194172,0.347602266554887,18,-0.529812942826018,75898,0.0874095089023673,0.176656614269931,0.0588936180727814,0.092091028119824,0.323542805895563,0.129879830497154,0.323916283022289,13,0,100555.1,0.164940202504402,0.331985400676847,-0.0504916086296828,-0.0777631640822746,0.080585515705374,0.0102331426480038,-0.294116808993911,0,-2.11925177130407,56681.425,-0.175349328246266,-0.341159031758539,0.0493889862567229,0.0742629407875971,0.296086621470229,0.111238684491525,0.289984078584484,5,0,98007.4,0.151088338876932,0.302779021775985,-0.0433605381569493,-0.0616256832490461,0.0879080959254212,0.0121816267752236,-0.254884210396676,0,-1.85434529989106,60450.25,-0.156981673514642,-0.317274685232196,0.162657969832858,0.356230031948882,0.0185962807438512,0.0147970405918816,0.0327455919395466,0.0171965606878624,0.75644264780192,0.667266546690662,0.781758957654723,0.840880764437059,1
"GO:0000287",0.0907479817524574,0.127912281726563,0.335468527081169,0.148767689827085,0.378859118963223,18,-1.00623058987491,87698,0.142151795429815,0.262346318029129,0.0913429507165916,0.136919167765157,0.316807920556686,0.126834290918099,0.31846956566213,18,0.111803398874989,134521,0.191302463858231,0.371103218603167,-0.0781636947182234,-0.12591181355944,0.0811254777696212,0.0103599840638918,-0.286242636057337,0,-3.24229856737469,65531,-0.186124669672004,-0.356658817025283,0.0768029367017515,0.112887371047536,0.289449664160999,0.106558434241595,0.284782824827567,4,-0.111803398874989,131050.6,0.17677561013524,0.341775910943989,-0.0674208149730381,-0.101100798322286,0.089040679525326,0.0125497982325048,-0.248539780469054,0,-3.01869176962472,70910.3,-0.172371463547334,-0.334317833167288,0.0524256651017214,0.0633994554647997,0.0151969606078784,0.0125974805038992,0.0111731843575419,0.0255948810237952,0.668054110301769,0.773645270945811,0.32112567463377,0.427616050354052,1
"GO:0001216",0.0496683735355201,0.0898378215282824,0.348781720615428,0.164198961681588,0.356944876010225,51,-1.23263126885587,176643,0.1062540071108,0.21173734714401,0.0495465816419319,0.0730708523919762,0.306418852967261,0.121049042808956,0.294479583791283,22.0249999999996,0,217856.925,0.154194989654368,0.323132985165801,-0.0468573666506106,-0.0596274050673884,0.0888998790539038,0.0127416199988377,-0.286306912870771,0,-2.817442900242,140768.75,-0.153566510753628,-0.328591398174402,0.0415135933271999,0.0578640540156954,0.280030537855525,0.101263051561402,0.259172514740431,5,0,212764.8,0.138974070350294,0.296472691213852,-0.0410093894975401,-0.0488556533110194,0.0954831767626513,0.0145648221329957,-0.258030006132136,0,-2.46526253771175,148477.95,-0.138137494900041,-0.299805433546923,0.0510204081632653,0.0248716936439005,0.00799840031993601,0.00619876024795041,0.0101910828025478,0.00779844031193761,0.367643768180801,0.68126374725055,0.317130537044296,0.49573344169037,1
"GO:0001217",0.187812066411954,0.284981359036258,0.42191892150717,0.228154746043169,0.465115304887024,66,-3.30011458930156,128736,0.21913269530521,0.401483002704641,0.106181405860511,0.181674124286415,0.32999136399719,0.135857857420783,0.324219105396999,33,0,190167.025,0.231017392881456,0.400560543232921,-0.100486562038624,-0.181572258255121,0.0834199921087632,0.0113229630675292,-0.309855493695218,0,-4.03347338692413,111273.975,-0.229776208262473,-0.392971682209068,0.0889849637652092,0.15128400859112,0.297663791830845,0.111106845804879,0.274191424417561,6.05000000000018,-0.183339699405642,183360.6,0.216346469773396,0.378560523773258,-0.0854984891115141,-0.152177877408442,0.0904070153241304,0.0129048713149359,-0.271613124680001,0,-3.66679398811285,116395.5,-0.215792773161814,-0.369596487196453,0.00270688321732405,0.00537840952746831,0.002999400119976,0.0023995200959808,0.00399680255795364,0.00519896020795841,0.150488463936811,0.807638472305539,0.0843280708509819,0.0477308294209703,1
"GO:0001221",0.143352829102036,0.17043633843633,0.374085482183582,0.190413566992487,0.420418627919565,10,-0.98058067569092,27185,0.207800215816248,0.38484090071814,0.0982627579093047,0.14690503218247,0.321009012731,0.131304691412613,0.314126149973058,7,0.196116135138184,44917.325,0.309546015107137,0.47813954744397,-0.10790358815843,-0.163034245035942,0.080108368363905,0.0100703350496736,-0.330739341576411,0,-2.15727748652002,16704.4,-0.294978418375212,-0.483621098155805,0.0836315158526948,0.118692666070864,0.294516468805277,0.110307144895871,0.269520243849422,3,0.196116135138184,43238.2,0.28202558964082,0.441861574244775,-0.0915256901286978,-0.134054907813382,0.0880566208779486,0.0119594627841942,-0.297147548220648,0,-2.15727748652002,18863.6,-0.266070602743949,-0.446718755805199,0.00460475825019187,0.0238095238095238,0.00679864027194561,0.00459908018396321,0.00573065902578797,0.015996800639872,0.510372518402855,0.722055588882224,0.360015174506829,0.236314572089437,1
"GO:0001227",0.187812066411954,0.284981359036258,0.42191892150717,0.228154746043169,0.465115304887024,66,-3.30011458930156,128736,0.21913269530521,0.401483002704641,0.106181405860511,0.181674124286415,0.32999136399719,0.135857857420783,0.324219105396999,33,0,190167.025,0.231017392881456,0.400560543232921,-0.100486562038624,-0.181572258255121,0.0834199921087632,0.0113229630675292,-0.309855493695218,0,-4.03347338692413,111273.975,-0.229776208262473,-0.392971682209068,0.0889849637652092,0.15128400859112,0.297663791830845,0.111106845804879,0.274191424417561,6.05000000000018,-0.183339699405642,183360.6,0.216346469773396,0.378560523773258,-0.0854984891115141,-0.152177877408442,0.0904070153241304,0.0129048713149359,-0.271613124680001,0,-3.66679398811285,116395.5,-0.215792773161814,-0.369596487196453,0.00270688321732405,0.00537840952746831,0.002999400119976,0.0023995200959808,0.00399680255795364,0.00519896020795841,0.150488463936811,0.807638472305539,0.0843280708509819,0.0477308294209703,1
"GO:0001228",0.0530654974678533,0.0898378215282824,0.349706711622125,0.165025744537756,0.36022584897484,50,-1.24229911318256,172287,0.110765182695414,0.216547643613865,0.0512256059950887,0.0753167629998677,0.305464501077283,0.121567016365143,0.295240514046157,23,0,215000.575,0.1582886469171,0.327556653166332,-0.0478138859760366,-0.0634413107459347,0.0888091750001942,0.0127254309939586,-0.287995067300603,0,-2.83954083013156,137037.35,-0.157735486830197,-0.331551040393269,0.0429461198595939,0.0591565454060514,0.279933702099971,0.101543636783944,0.259210695889137,5,0,209711.75,0.1425064918091,0.298604657877748,-0.041597172773559,-0.0513898258839259,0.0957155728723731,0.0145593156431918,-0.258319654999658,0,-2.48459822636512,145126.45,-0.140952773167682,-0.302569874778934,0.0431947840260799,0.0288309636650869,0.00799840031993601,0.00619876024795041,0.0101651842439644,0.00799840031993601,0.373270861222668,0.693261347730454,0.298594847775176,0.479820627802691,1
"GO:0001540",-0.0462582540934971,-0.0796637366177464,0.371483713571608,0.17287460531422,-0.379765425150096,17,-0.474341649025257,60066,-0.110026262938359,-0.220260734172372,0.0688659434478372,0.11365346843629,0.319028040432845,0.127436666013301,0.298363979141619,11,0.158113883008419,74265.325,0.185115093465163,0.34846362535247,-0.0594535143963369,-0.0883800081304338,0.0790906029823303,0.00998638464522146,-0.316016552112267,0,-2.05548047910945,33082.5,-0.179422698130697,-0.354480140777882,0.0580452043702939,0.0939380803481126,0.288856752532969,0.106322730025367,0.26840429186886,3,0.158113883008419,71194.65,0.168083964158814,0.319654582131208,-0.0506801323611361,-0.0722890057699718,0.0865261726979936,0.0118191906595349,-0.276248315760904,0,-1.73925271309261,36408.9,-0.165709678665225,-0.326880165071482,0.139471639471639,0.0711743772241993,0.00719856028794241,0.00719856028794241,0.0152322924600152,0.0135972805438912,0.740072202166065,0.327734453109378,0.618390804597701,0.647418738049713,1
"GO:0001618",-0.125730714167294,-0.251666244126299,0.400939813014888,0.188409952667088,-0.45143188044187,11,10,30021,-0.217464170134073,-0.349719253404089,0.122030988945353,0.236933541536588,0.343025347523892,0.13928277246989,0.333257064119259,7,12,40818.225,0.280125019263369,0.45627955826093,-0.104952785225404,-0.190936878511328,0.075826604055245,0.00908471880882808,-0.324826155830216,0,6,16486.025,-0.281707986592695,-0.454787417758095,0.10270696411879,0.192715155765321,0.310351007772953,0.116236328798912,0.292994034817436,3,12,38839.05,0.258438318693173,0.42216948413758,-0.0914838754472414,-0.154339204157863,0.0843514228610383,0.0110148608393281,-0.281498584930241,0,7,18369.9,-0.25975015410695,-0.426102777143705,0.012810851544838,0.0118365788468881,0.00599880023995201,0.00619876024795041,0.00511006289308176,0.0151969606078784,0.496700659868026,0.424315136972605,0.252583237657865,0.283033320566833,1
"GO:0001653",-0.126281995532602,-0.247743383028436,0.35034361520305,0.155424943066117,-0.353056007952335,16,-2.05548047910945,41443,-0.219488645141356,-0.294427143368407,0.126223358222045,0.231368447106822,0.338025045004779,0.140058780533215,0.321715709991366,12,0.158113883008419,70332.225,0.248827533601112,0.386906238870106,-0.11498099172655,-0.194133222671746,0.0788082138837594,0.00988280304368666,-0.323490097712253,0,-2.68793601114312,30156.325,-0.246171887069365,-0.401188860487805,0.106139987308269,0.19182293777202,0.30374492080336,0.11528665008219,0.279894584128546,4,0.158113883008419,66798.5,0.233814691796694,0.366725467475535,-0.0999873904961198,-0.160339833505014,0.086821200846672,0.0117268719163536,-0.28218203641203,0,-2.37170824512628,32750.4,-0.232158002471806,-0.377549124479214,0.0283159463487332,0.0156907768848067,0.0171965606878624,0.0145970805838832,0.0262089331856774,0.0171965606878624,0.270235818992989,0.742651469706059,0.157510564733,0.514360313315927,1
