"geneSet","true.mean","true.median","true.meanabs","true.meansqr","true.maxmean","true.sig_n","true.sign_test","true.rank_sum","true.ks_orig","true.ks_weighted","null_upper25.mean","null_upper25.median","null_upper25.meanabs","null_upper25.meansqr","null_upper25.maxmean","null_upper25.sig_n","null_upper25.sign_test","null_upper25.rank_sum","null_upper25.ks_orig","null_upper25.ks_weighted","null_lower25.mean","null_lower25.median","null_lower25.meanabs","null_lower25.meansqr","null_lower25.maxmean","null_lower25.sig_n","null_lower25.sign_test","null_lower25.rank_sum","null_lower25.ks_orig","null_lower25.ks_weighted","null_upper5.mean","null_upper5.median","null_upper5.meanabs","null_upper5.meansqr","null_upper5.maxmean","null_upper5.sig_n","null_upper5.sign_test","null_upper5.rank_sum","null_upper5.ks_orig","null_upper5.ks_weighted","null_lower5.mean","null_lower5.median","null_lower5.meanabs","null_lower5.meansqr","null_lower5.maxmean","null_lower5.sig_n","null_lower5.sign_test","null_lower5.rank_sum","null_lower5.ks_orig","null_lower5.ks_weighted","pvals.mean","pvals.median","pvals.meanabs","pvals.meansqr","pvals.maxmean","pvals.sig_n","pvals.sign_test","pvals.rank_sum","pvals.ks_orig","pvals.ks_weighted","null_brain"
"GO:0007268",-0.00882248251104883,0.0416039371640805,0.339034596143651,0.14706454790212,-0.351557685874431,33,0,142660,-0.0846025159502058,-0.164238890174112,0.0935115885127919,0.110214542528606,0.30221957639027,0.120632275701413,0.304032113015564,17.0249999999996,0,159139.375,0.194119089403159,0.396198689492839,-0.0840909074367525,-0.0965439843272409,0.0855835783982839,0.0116058784086259,-0.280825008465309,0,-4.30910907875765,66523.8,-0.196731314887405,-0.397619235483257,0.0785639552131738,0.0934807307345331,0.275755981717787,0.0993363698540642,0.274038575504081,4.05000000000018,0,155523.35,0.169466549671155,0.358133722762143,-0.0706933323094025,-0.0821539013115552,0.0931483184753729,0.0135313317867727,-0.246977846632666,0,-3.69352206750656,75782.65,-0.173331337849141,-0.371401660399504,0.849629918192442,0.448502256873205,0.00839832033593281,0.00899820035992801,0.0101404056162246,0.0103979204159168,1,0.213357328534293,0.67498051441933,0.900731050404002,1
"GO:0007416",-0.0344453036079353,-0.076107231877977,0.336266177903506,0.141859970673265,-0.338753595174248,16,-0.549442255794756,72622,-0.0760587651147848,-0.191294252686253,0.10189264875356,0.129433527701885,0.304179448427299,0.121110697756013,0.312717202980672,11,0,91505.85,0.250196054091945,0.449010225350242,-0.0999728273591243,-0.124728555127926,0.0853170821867761,0.0115644522617651,-0.287956813871,0,-3.57137466266591,32264.875,-0.259935962965127,-0.463070290350589,0.0852532755804549,0.104447004553096,0.275082205206854,0.100540751334041,0.276408885471914,5,0,87714.45,0.218613674864186,0.409895827836374,-0.0873237961367743,-0.105288383972369,0.092501247695877,0.0136134618641667,-0.258593779688977,0,-3.02193240687116,36766.05,-0.22963184181319,-0.423597113244715,0.538912788423934,0.242518460940536,0.00919816036792642,0.0117976404719056,0.013581684128832,0.0153969206158768,0.858904109589041,0.326934613077385,0.954580152671756,0.872146118721461,1
"GO:0008021",-0.0765366189827651,-0.113323737139881,0.338211480414773,0.150834709779294,-0.385123235154856,18,-0.496138938356834,76040,-0.120130272952854,-0.244316409441005,0.151413627976744,0.206663771559911,0.307295035724093,0.122325701533762,0.317516956393872,14,0,103963.325,0.273680210918114,0.474221695223043,-0.1206809486628,-0.155852798657316,0.0800388975647671,0.0100677046662176,-0.27228421540395,0,-4.4652504452115,35484.25,-0.295721929280397,-0.504329747952428,0.128197853756922,0.168488679661688,0.279118266545467,0.102100931476248,0.287245411961423,4,0,99161,0.24333746898263,0.439544329272385,-0.103983855078678,-0.131332178757129,0.0881503304274209,0.0121017851680669,-0.243409663217668,0,-4.21718097603309,40362.2,-0.260392369727047,-0.465230594094006,0.243468383188186,0.156028368794326,0.0117976404719056,0.0111977604479104,0.00237154150197628,0.0195960807838432,0.928694158075601,0.371725654869026,0.735697940503433,0.671143514965464,1
"GO:0014069",-0.00890397034049489,-0.0491435101220464,0.352737257279256,0.156418392338443,0.366586960339121,52,-0.66436383882992,230105,-0.0420453560907988,0.127897806974455,0.0724855921652508,0.0848807686657544,0.311947932696422,0.124645399498833,0.309797201042748,29,0,244576.25,0.150621290720846,0.344236696749075,-0.066239393278999,-0.0776149093978309,0.0859310237629831,0.0117445010755041,-0.291434859851258,0,-4.31836495239448,124011.125,-0.153712176182637,-0.350957132837144,0.0610015930882707,0.071384405964473,0.282906619899106,0.103914749040862,0.278351895837351,5.05000000000018,0,238971.75,0.131173919164789,0.314312653714299,-0.0566989376756341,-0.0655132028860147,0.0923268628925772,0.0135501994519372,-0.251217891565185,0,-3.65400111356456,136829.95,-0.136538457373072,-0.320078220953314,0.806010928961749,0.218301667312912,0.00859828034393121,0.00879824035192961,0.0149193548387097,0.0125974805038992,0.743182306205712,0.117976404719056,0.97226443768997,0.983579638752053,1
"GO:0016079",0.0351316110773376,0.128899696798061,0.329779497727648,0.128660464783884,-0.341523686799224,7,-0.840168050416806,68731,0.125757824020973,0.171216666255774,0.0945658629679869,0.14537403164525,0.313782993122447,0.123903357690596,0.310077899954793,10,0,87195.875,0.223879421777996,0.413552306132655,-0.0734563719170077,-0.112580815970485,0.0816106410014537,0.0106903580736801,-0.304183397116287,0,-3.08061618486162,39709.2,-0.218611748320498,-0.408268362821198,0.0799579924145375,0.117229982801541,0.286379083492588,0.104684455656121,0.276681233043213,3,0,84324.65,0.204520090301673,0.380946344519188,-0.0636648372229663,-0.0889960243382436,0.0894460366206216,0.0124868205844645,-0.267777889936844,0,-2.52050415125042,44711.05,-0.1971539497879,-0.37251307733518,0.42252948352989,0.0743631881676253,0.015996800639872,0.0205958808238352,0.0238737004235657,0.0361927614477105,0.658951346244686,0.444311137772446,0.543737166324435,0.903359601824969,1
"GO:0030285",0.0134335500254172,0.0444847130742739,0.328487928003676,0.15152106222322,-0.393817972472823,9,-0.912870929175277,44194,0.121841739935215,-0.175391204471615,0.151601788711992,0.207181457814931,0.306320166811464,0.121557997706883,0.320996723585585,7,0.182574185835055,49781.875,0.31478482184174,0.527429493532612,-0.128424044101151,-0.153749047158882,0.0771385990016142,0.00950051001748183,-0.282838367659201,0,-3.46890953086605,11805.775,-0.340180857627641,-0.564319287159961,0.129088593883996,0.171638627836363,0.277345493354917,0.100915829866363,0.288615905760359,3,0.182574185835055,47503.55,0.287927656948943,0.480429631030728,-0.10994288349397,-0.132444744539174,0.0860271001658765,0.0112008737941641,-0.250077627399181,0,-3.10376115919594,14278.6,-0.304372204226438,-0.516597889633089,0.855268552685527,0.65125,0.0151969606078784,0.00819836032793441,0.0026902382782475,0.0175964807038592,0.718843683083512,0.104579084183163,0.871825876662636,0.939405785770133,1
"GO:0030672",-0.110549886451998,-0.21050651650267,0.333158309870305,0.150102040923138,-0.389925384646872,17,-0.919145030018058,56950,-0.167103822217474,-0.297784001662553,0.174550597074659,0.246773639992601,0.314020388250282,0.126100814144377,0.328995889088533,13,0.131306432859723,91172.225,0.308001482411389,0.501627154664832,-0.136707442932866,-0.179103894111719,0.0785654650338666,0.00976425107037337,-0.273122155748132,0,-4.59572515009029,26659.55,-0.326202489382729,-0.532319369688529,0.146339254320148,0.202263085447678,0.28289758004073,0.103511577670021,0.291951685632637,4,-0.131306432859723,86494.35,0.27764336654291,0.469297795222681,-0.11831052339697,-0.148615076168174,0.0863702059101079,0.0117288831312289,-0.244060884555058,0,-4.33311228437084,30233.05,-0.291997916611021,-0.491598088120622,0.116340361445783,0.0163144234334446,0.017996400719856,0.0141971605678864,0.002356637863315,0.0187962407518496,0.799629324546952,0.51749650069986,0.544356360890902,0.553119092627599,1
"GO:0042734",0.0196557550263334,0.056701915089556,0.341286716255692,0.143978447553723,-0.342248330538933,27,-0.439057039958761,121310,-0.0902939908935899,0.159473105644839,0.0973805952741151,0.126059334962515,0.318670653662232,0.128292284550791,0.333505935005734,19,0,144934.075,0.212553214412861,0.403049508542014,-0.0875599366886712,-0.107824173759697,0.0790230313584847,0.0100075040705641,-0.277486082371411,0,-4.17104187960823,53399.6,-0.228830407165208,-0.430051113750212,0.0811639442731291,0.105167578738893,0.290016477684071,0.106941330451968,0.30088986227835,4,0,140111.2,0.195751278832281,0.372409922301811,-0.0752769377847947,-0.0906400350956112,0.0867905415738552,0.0121513833897023,-0.244540637727542,0,-3.73198483964947,61318.25,-0.202808559275984,-0.395966979335759,0.687727825030377,0.366042345276873,0.0135972805438912,0.0145970805838832,0.0104333868378812,0.016996600679864,0.884529647793134,0.280543891221756,0.768895924020578,0.930661322645291,1
"GO:0045211",-0.0237097100025701,-0.0561802686225956,0.353931816259926,0.159046489680047,0.358526858222272,26,-0.573539334676404,116054,-0.0602008944997261,-0.13557240857492,0.0850485683818942,0.117522159498242,0.321575905848432,0.129366887048548,0.325353104428539,17.0249999999996,0.114707866935281,130024.125,0.190737349042951,0.378553688185872,-0.0842995146488317,-0.104857290059592,0.0805679191390993,0.010433547627162,-0.286140392398488,0,-3.55594387499371,53829.925,-0.212259562316542,-0.422686275959719,0.0719580933202003,0.0974252651764466,0.290644900688572,0.107821698036348,0.290956633649168,4,0.114707866935281,126077.45,0.171462678756858,0.348970766022819,-0.0728529038643342,-0.0890133071460137,0.0889404903399961,0.0123833980891922,-0.255336678652908,0,-3.09711240725258,60895.3,-0.191024341185417,-0.387704811792287,0.60191463901077,0.308385579937304,0.0107978404319136,0.0103979204159168,0.0221595487510073,0.0161967606478704,0.774050632911392,0.196160767846431,0.965503568596352,0.988019169329074,1
"GO:0048488",-0.0422281896378093,-0.0886585770616082,0.328616821209673,0.139019397801219,-0.370845010847482,9,12,32079,-0.112035752812452,-0.192775828560973,0.126345840538366,0.172159177456515,0.333123495608785,0.141341181704508,0.351423951662328,9,12,41473.275,0.295628178455848,0.488830336225224,-0.106697067657438,-0.139554294944314,0.0681680536200864,0.00749306388031242,-0.31402797264026,0,5,12776.975,-0.309949048389582,-0.49939290893996,0.106154277927199,0.147088628639683,0.302795407126148,0.115125557785058,0.306521633860832,4,12,39521.1,0.269370280474649,0.453365002246245,-0.0918606697088316,-0.12214117887993,0.0765810117940683,0.0093185224827977,-0.269098308825296,0,6,14796.8,-0.280468870396055,-0.461196061519493,0.48491879350348,0.239968835216206,0.0291941611677664,0.025994801039792,0.0138728323699422,0.0271945610877824,0.113577284543091,0.26994601079784,0.922662562524048,0.890463423975488,1
