"geneSet","pvals.PLSR","sim_brain"
"GO:0007268",0.934413117376525,1
"GO:0007416",0.990201959608078,1
"GO:0008021",0.20995800839832,1
"GO:0014069",0.722255548890222,1
"GO:0016079",0.451909618076385,1
"GO:0030285",0.613077384523095,1
"GO:0030672",0.113377324535093,1
"GO:0042734",0.837832433513297,1
"GO:0045211",0.983403319336133,1
"GO:0048488",0.337132573485303,1
"GO:0048786",0.847630473905219,1
"GO:0048787",0.693661267746451,1
"GO:0050804",0.401119776044791,1
"GO:0050808",0.824835032993401,1
"GO:0051963",0.991001799640072,1
"GO:0060078",0.581683663267347,1
"GO:0098839",0.939812037592482,1
"GO:0098918",0.526094781043791,1
"GO:0099010",0.292341531693661,1
"GO:0099055",0.980203959208158,1
"GO:0099056",0.757848430313937,1
"GO:0099059",0.933413317336533,1
"GO:0099060",0.977004599080184,1
"GO:0099061",0.0275944811037792,1
"GO:0099072",0.680263947210558,1
"GO:0099092",0.668066386722656,1
"GO:0099171",0.461507698460308,1
"GO:0099173",0.0017996400719856,1
"GO:0099175",0.0001999600079984,1
"GO:0099188",0.446110777844431,1
"GO:0099504",0.2749450109978,1
"GO:0099505",0.155768846230754,1
"GO:0099509",0.310337932413517,1
"GO:0099523",0.0277944411117776,1
"GO:0099531",0.665666866626675,1
"GO:0099536",0.99880023995201,1
"GO:0099537",0.648270345930814,1
"GO:0099560",0.988202359528094,1
"GO:0099563",0.674065186962608,1
"GO:0099572",0.869026194761048,1
"GO:0099634",0.980603879224155,1
"GO:0099645",0.86622675464907,1
"GO:1904315",0.144371125774845,1
"GO:1905606",0.800839832033593,1
"GO:2000300",0.23255348930214,1
"SYNGO:metabolism",0.958208358328334,1
"SYNGO:postsynprocess",0.780443911217756,1
"SYNGO:presynprocess",0.755248950209958,1
"SYNGO:transport",0.773645270945811,1
"GO:0007268",0.115976804639072,2
"GO:0007416",0.819236152769446,2
"GO:0008021",0.710857828434313,2
"GO:0014069",0.667666466706659,2
"GO:0016079",0.515096980603879,2
"GO:0030285",0.694861027794441,2
"GO:0030672",0.630473905218956,2
"GO:0042734",0.843431313737253,2
"GO:0045211",0.0937812437512497,2
"GO:0048488",0.730453909218156,2
"GO:0048786",0.236352729454109,2
"GO:0048787",0.702259548090382,2
"GO:0050804",0.163567286542691,2
"GO:0050808",0.889422115576885,2
"GO:0051963",0.684463107378524,2
"GO:0060078",0.511497700459908,2
"GO:0098839",0.537692461507698,2
"GO:0098918",0.765446910617876,2
"GO:0099010",0.357328534293141,2
"GO:0099055",0.591481703659268,2
"GO:0099056",0.844231153769246,2
"GO:0099059",0.762247550489902,2
"GO:0099060",0.644671065786843,2
"GO:0099061",0.500299940011998,2
"GO:0099072",0.164167166566687,2
"GO:0099092",0.908618276344731,2
"GO:0099171",0.605278944211158,2
"GO:0099173",0.320535892821436,2
"GO:0099175",0.229354129174165,2
"GO:0099188",0.954409118176365,2
