"geneSet","pvals.PLSR","sim_brain"
"GO:0007268",0.237352529494101,1
"GO:0007416",0.992801439712058,1
"GO:0008021",0.715456908618276,1
"GO:0014069",0.647870425914817,1
"GO:0016079",0.766646670665867,1
"GO:0030285",0.976804639072186,1
"GO:0030672",0.680463907218556,1
"GO:0042734",0.34373125374925,1
"GO:0045211",0.946610677864427,1
"GO:0048488",0.641071785642871,1
"GO:0048786",0.0203959208158368,1
"GO:0048787",0.735652869426115,1
"GO:0050804",0.33253349330134,1
"GO:0050808",0.762047590481904,1
"GO:0051963",0.982003599280144,1
"GO:0060078",0.429514097180564,1
"GO:0098839",0.317936412717456,1
"GO:0098918",0.0177964407118576,1
"GO:0099010",0.603479304139172,1
"GO:0099055",0.841431713657269,1
"GO:0099056",0.803239352129574,1
"GO:0099059",0.948210357928414,1
"GO:0099060",0.965406918616277,1
"GO:0099061",0.620275944811038,1
"GO:0099072",0.862827434513097,1
"GO:0099092",0.998200359928014,1
"GO:0099171",0.617276544691062,1
"GO:0099173",0.0125974805038992,1
"GO:0099175",0.194161167766447,1
"GO:0099188",0.693661267746451,1
"GO:0099504",0.432113577284543,1
"GO:0099505",0.0405918816236753,1
"GO:0099509",0.212357528494301,1
"GO:0099523",0.318136372725455,1
"GO:0099531",0.606678664267147,1
"GO:0099536",0.789842031593681,1
"GO:0099537",0.712257548490302,1
"GO:0099560",0.935612877424515,1
"GO:0099563",0.714057188562288,1
"GO:0099572",0.595480903819236,1
"GO:0099634",0.984603079384123,1
"GO:0099645",0.95500899820036,1
"GO:1904315",0.773845230953809,1
"GO:1905606",0.703459308138372,1
"GO:2000300",0.239752049590082,1
"SYNGO:metabolism",0.861627674465107,1
"SYNGO:postsynprocess",0.446710657868426,1
"SYNGO:presynprocess",0.688262347530494,1
"SYNGO:transport",0.678464307138572,1
"GO:0007268",0.115176964607079,2
"GO:0007416",0.645470905818836,2
"GO:0008021",0.808238352329534,2
"GO:0014069",0.34753049390122,2
"GO:0016079",0.764847030593881,2
"GO:0030285",0.785642871425715,2
"GO:0030672",0.768446310737852,2
"GO:0042734",0.72625474905019,2
"GO:0045211",0.242351529694061,2
"GO:0048488",0.442311537692462,2
"GO:0048786",0.123175364927015,2
"GO:0048787",0.134373125374925,2
"GO:0050804",0.0507898420315937,2
"GO:0050808",0.823435312937413,2
"GO:0051963",0.778044391121776,2
"GO:0060078",0.402719456108778,2
"GO:0098839",0.356128774245151,2
"GO:0098918",0.679864027194561,2
"GO:0099010",0.494901019796041,2
"GO:0099055",0.43251349730054,2
"GO:0099056",0.842831433713257,2
"GO:0099059",0.501499700059988,2
"GO:0099060",0.670665866826635,2
"GO:0099061",0.481103779244151,2
"GO:0099072",0.724255148970206,2
"GO:0099092",0.594481103779244,2
"GO:0099171",0.380123975204959,2
"GO:0099173",0.25494901019796,2
"GO:0099175",0.0011997600479904,2
"GO:0099188",0.933413317336533,2
"GO:0099504",0.847030593881224,2
"GO:0099505",0.387122575484903,2
