"Pathway","psig.protein","psig.ahba","psigfdr.protein","psigfdr.ahba","inflation_log","inflation_logfdr","inflation_log1","inflation_logfdr1","inflation_log2","inflation_logfdr2","PathwaySize","PathwayName"
"GO:0098664",0.4963,0.0091,0.0099,0,3.89665804187348,2.3887627892351,0.39393654971889,0.0098513160503742,1.69847900329004,0.0944006754214843,23,"G protein-coupled serotonin receptor signaling pathway"
"GO:0021554",0.4966,0.0093,0.0137,0,3.87765264618938,2.68784749378469,0.393938847401444,0.0136070034062169,1.69715047689816,0.128393214768399,21,"optic nerve development"
"GO:0031338",0.4917,0.01,0.0116,0,3.80200519675155,2.53369681395743,0.38996607832458,0.0115332358136731,1.68251938389023,0.109750863959119,23,"regulation of vesicle fusion"
"GO:0010829",0.2652,0.0057,0.001,0,3.68214037956409,0.693147180559945,0.229546395981059,0.000999500333083423,1.23984025584462,0.00995033085316809,21,"negative regulation of glucose transmembrane transport"
"GO:0006244",0.2554,0.0055,4e-04,0,3.67493654814492,0.336472236621213,0.221969316670725,0.000399920021326891,1.21453296280443,0.00399202126953746,21,"pyrimidine nucleotide catabolic process"
"GO:0009190",0.2501,0.0058,9e-04,0,3.60892865398148,0.641853886172395,0.217440303358653,0.000899595242835994,1.19666830853642,0.0089597413714718,21,"cyclic nucleotide biosynthetic process"
"GO:0006837",0.2566,0.006,9e-04,0,3.60549784517489,0.641853886172395,0.222427589309162,0.000899595242835994,1.21317561131697,0.0089597413714718,23,"serotonin transport"
"GO:0048015",0.2636,0.0063,4e-04,0,3.59034490352651,0.336472236621213,0.227684551988643,0.000399920021326891,1.22978907695542,0.00399202126953746,23,"phosphatidylinositol-mediated signaling"
"GO:0034755",0.2612,0.0063,0.0013,0,3.58123322317525,0.832909122935104,0.225783410731618,0.00129915573162013,1.22316653619493,0.0129162252665462,20,"iron ion transmembrane transport"
"GO:0015874",0.265,0.0067,0.0018,0,3.54227597992206,1.02961941718116,0.228394467426243,0.0017983819413794,1.22987619527478,0.017839918128331,23,"norepinephrine transport"
"GO:0035357",0.2494,0.0064,4e-04,0,3.52157963901582,0.336472236621213,0.216283829113294,0.000399920021326891,1.18901182079241,0.00399202126953746,24,"peroxisome proliferator activated receptor signaling pathway"
"GO:0002082",0.2462,0.0064,2e-04,0,3.50871772537341,0.182321556793955,0.213719314163945,0.000199980002666245,1.17981106583456,0.00199800266267306,24,"regulation of oxidative phosphorylation"
"GO:0032252",0.2666,0.0071,0.0014,0,3.49762926657568,0.8754687373539,0.229261231428231,0.00139902091370741,1.2305083579519,0.0139029051689914,23,"secretory granule localization"
"GO:0032253",0.2666,0.0071,0.002,0,3.49762926657568,1.09861228866811,0.229261231428231,0.00199800266267306,1.2305083579519,0.0198026272961797,20,"dense core granule localization"
"GO:0051952",0.6035,0.0177,0.0416,0,3.47587814619431,3.75185425327532,0.454643560935324,0.0407579924721678,1.78792886228821,0.347835995271528,94,"regulation of amine transport"
"GO:0002433",0.2601,0.0073,0.001,0,3.44864796090253,0.693147180559945,0.223917598927012,0.000999500333083423,1.21075312101818,0.00995033085316809,22,"immune response-regulating cell surface receptor signaling pathway involved in phagocytosis"
"GO:0038096",0.2601,0.0073,0.001,0,3.44864796090253,0.693147180559945,0.223917598927012,0.000999500333083423,1.21075312101818,0.00995033085316809,22,"Fc-gamma receptor signaling pathway involved in phagocytosis"
"GO:0010839",0.2454,0.0069,3e-04,0,3.44009347218639,0.262364264467491,0.212580459516782,0.000299955008997942,1.17280934768158,0.00299550897979837,24,"negative regulation of keratinocyte proliferation"
"GO:0031629",0.5623,0.0188,0.023,1e-04,3.34813040820018,3.08274365054362,0.427533630312556,0.0226394919691561,1.71827721856239,0.206014669051243,23,"synaptic vesicle fusion to presynaptic active zone membrane"
"GO:0060307",0.2392,0.0075,8e-04,0,3.34140574614961,0.587786664902119,0.206993995281821,0.000799680170564244,1.14909905635003,0.00796816964917688,24,"regulation of ventricular cardiac muscle cell membrane repolarization"
"GO:0002028",0.5008,0.0168,0.0155,0,3.33900317663428,2.80336038090653,0.389337858376716,0.0153811020383024,1.6377990300558,0.144100343973757,84,"regulation of sodium ion transport"
"GO:0050796",0.8038,0.0281,0.1196,0,3.31985562516803,4.79247928429309,0.562183112182935,0.112971478659161,1.95379688807449,0.786637523647284,167,"regulation of insulin secretion"
"GO:0099500",0.5426,0.0188,0.0217,1e-04,3.3125317445765,3.02705474468303,0.414843840394597,0.0213679116149076,1.68808103975321,0.195389313672307,24,"vesicle fusion to plasma membrane"
"GO:0030073",0.7678,0.0273,0.1173,0,3.30196905300689,4.77322377098434,0.54280183440463,0.110915060571155,1.91941476780089,0.776108701274292,200,"insulin secretion"
"GO:0007613",0.6051,0.0217,0.0309,0,3.28468006446988,3.4626060097908,0.451718153321794,0.0304322071202019,1.75678063673151,0.269263486927763,126,"memory"
"GO:0002793",0.4573,0.0167,0.0236,0,3.25395935193529,3.20274644293832,0.360023320258536,0.0233258253034968,1.56349715528298,0.211880359035499,113,"positive regulation of peptide secretion"
"GO:0090277",0.4573,0.0167,0.0239,0,3.25395935193529,3.21486780347066,0.360023320258536,0.023618865598634,1.56349715528298,0.214304602647005,111,"positive regulation of peptide hormone secretion"
"GO:0016079",0.5138,0.019,0.0383,0,3.24804620216798,3.67122451887522,0.395801291652342,0.0375847603272712,1.64054564907411,0.324255052682621,96,"synaptic vesicle exocytosis"
"GO:0099601",0.4374,0.0165,0.0102,0,3.22093085470434,2.41591377830105,0.346470571965941,0.0101483310518151,1.52885142317564,0.0971267107307228,46,"regulation of neurotransmitter receptor activity"
"GO:0015837",0.4624,0.0177,0.0331,0,3.21006708813773,3.52929738428947,0.362533742502,0.0325639908732626,1.56407432623022,0.285930539412975,105,"amine transport"
"GO:0015844",0.5459,0.0218,0.0295,0,3.17750543439233,3.41772668361337,0.414040487105591,0.0290732474857072,1.66826433776263,0.258510695151501,87,"monoamine transport"
"GO:0014046",0.4465,0.0177,0.0222,0,3.17515301385437,3.14415227867226,0.351601666218304,0.0219571673520421,1.53539529335036,0.200488860749404,42,"dopamine secretion"
"GO:0014059",0.4465,0.0177,0.0292,0,3.17515301385437,3.40784192438082,0.351601666218304,0.0287818014254519,1.53539529335036,0.25619140536041,37,"regulation of dopamine secretion"
"GO:0051489",0.4413,0.0175,0.0085,0,3.17421765279,2.2512917986065,0.348196845772307,0.00846407841212936,1.52753532021872,0.0815799869924228,49,"regulation of filopodium assembly"
"GO:0001662",0.4408,0.0175,0.0159,0,3.17308655890174,2.82731362192903,0.347849876544996,0.0157749191153622,1.52661119114454,0.147557564357615,42,"behavioral fear response"
"GO:0002209",0.4408,0.0175,0.0154,0,3.17308655890174,2.79728133483015,0.347849876544996,0.015282623531157,1.52661119114454,0.143234168085908,43,"behavioral defense response"
"GO:0042596",0.4408,0.0175,0.013,0,3.17308655890174,2.63905732961526,0.347849876544996,0.0129162252665462,1.52661119114454,0.122217632724249,48,"fear response"
"GO:0046928",0.5499,0.0229,0.0292,0,3.13767484554121,3.40784192438082,0.415548682240043,0.0287818014254519,1.66544748832831,0.25619140536041,82,"regulation of neurotransmitter secretion"
"GO:1901890",0.454,0.0189,0.0198,0,3.1295776872205,3.03495298670727,0.355594765113225,0.0196065296389183,1.53888188305055,0.180653499693258,108,"positive regulation of cell junction assembly"
"GO:0090313",0.2052,0.0082,0.0033,0,3.10964308752787,1.45861502269952,0.178478965607616,0.00329456694943011,1.03698593299792,0.0324671901375014,34,"regulation of protein targeting to membrane"
"GO:0090314",0.2052,0.0082,0.0057,0,3.10964308752787,1.90210752639692,0.178478965607616,0.00568381646829771,1.03698593299792,0.0554347068881005,28,"positive regulation of protein targeting to membrane"
"GO:1990573",0.2116,0.0085,0.001,0,3.10812066730135,0.693147180559945,0.183477721758816,0.000999500333083423,1.05497014101608,0.00995033085316809,46,"potassium ion import across plasma membrane"
"GO:1990138",0.5468,0.0237,0.0147,0,3.09910701319505,2.75366071235426,0.412764765807417,0.0145930023029001,1.65417784830451,0.137149838147234,177,"neuron projection extension"
"GO:0051592",0.571,0.0249,0.0444,0,3.09489602267431,3.8155121050473,0.427117312418104,0.0434425578428367,1.68125571984015,0.367417040470634,146,"response to calcium ion"
"GO:0086001",0.5443,0.0238,0.0262,0,3.09049244876108,3.30321697330195,0.411049538205472,0.0258626595257274,1.6494970958941,0.232697764119021,84,"cardiac muscle cell action potential"
"GO:1903305",0.4568,0.0199,0.0147,0,3.0866832485477,2.75366071235426,0.356537666156926,0.0145930023029001,1.53554804698674,0.137149838147234,125,"regulation of regulated secretory pathway"
"GO:0140029",0.3568,0.0154,0.0064,0,3.08269283624447,2.00148000021012,0.289846362524345,0.00637960696403899,1.3758413042678,0.0620353909194527,82,"exocytic process"
"GO:0019934",0.198,0.0082,0.0026,0,3.0741013406695,1.28093384546206,0.172486937026864,0.00259662584726591,1.01311212009302,0.0256677467485778,33,"cGMP-mediated signaling"
"GO:0007413",0.349,0.0153,0.0041,0,3.06676804667074,1.62924053973028,0.284179441900579,0.00409161790325356,1.35948546046724,0.040181789632832,20,"axonal fasciculation"
"GO:0106030",0.349,0.0153,0.0041,0,3.06676804667074,1.62924053973028,0.284179441900579,0.00409161790325356,1.35948546046724,0.040181789632832,20,"neuron projection fasciculation"
"GO:2000311",0.3401,0.015,0.0018,0,3.05958696718482,1.02961941718116,0.277855625550295,0.0017983819413794,1.3420698454538,0.017839918128331,23,"regulation of AMPA receptor activity"
"GO:0061178",0.3857,0.0172,0.007,0,3.0562276045305,2.07944154167984,0.309151672556705,0.00697561373642514,1.42170927220879,0.0676586484738149,56,"regulation of insulin secretion involved in cellular response to glucose stimulus"
"GO:0050849",0.3389,0.015,0.0022,0,3.05606273446229,1.16315080980568,0.276959768827446,0.0021975835434872,1.33933946833094,0.0217614917815127,21,"negative regulation of calcium-mediated signaling"
"GO:0050806",0.7085,0.0327,0.0558,0,3.04706265924178,4.03953632572711,0.503439060877988,0.0542987734073789,1.807089737679,0.443402947448556,177,"positive regulation of synaptic transmission"
"GO:0015872",0.3893,0.0177,0.0123,0,3.03839215032603,2.58776403522771,0.31125484395693,0.0122249696225689,1.42483678402885,0.116003675756306,56,"dopamine transport"
"GO:2000300",0.2045,0.0091,0.0016,0,3.01291061008908,0.955511445027436,0.177005698584443,0.00159872136369707,1.02640619431093,0.0158733491562902,44,"regulation of synaptic vesicle exocytosis"
"GO:0099054",0.4374,0.0206,0.0116,0,3.01043842094369,2.53369681395743,0.342445236404471,0.0115332358136731,1.49426341188831,0.109750863959119,49,"presynapse assembly"
"GO:0099172",0.4366,0.0206,0.0091,0,3.00861193641765,2.31253542384721,0.34188852101083,0.00905884448834615,1.49277365369844,0.0870947068509337,54,"presynapse organization"
"GO:0048846",0.2044,0.0092,0.002,0,3.00257157720423,1.09861228866811,0.176823579840676,0.00199800266267306,1.02516156267673,0.0198026272961797,38,"axon extension involved in axon guidance"
"GO:1902284",0.2044,0.0092,0.002,0,3.00257157720423,1.09861228866811,0.176823579840676,0.00199800266267306,1.02516156267673,0.0198026272961797,38,"neuron projection extension involved in neuron projection guidance"
"GO:0019098",0.1953,0.0088,9e-04,0,2.99726171560589,0.641853886172395,0.169635694233226,0.000899595242835994,0.998480454328035,0.0089597413714718,43,"reproductive behavior"
"GO:0060071",0.204,0.0093,1e-04,0,2.99086608390282,0.0953101798043249,0.176392325623952,9.99950003332973e-05,1.02293130622373,0.000999500333083645,50,"Wnt signaling pathway, planar cell polarity pathway"
"GO:0071320",0.1995,0.0091,3e-04,0,2.98827882289941,0.262364264467491,0.172845958809266,0.000299955008997942,1.00984952471648,0.00299550897979837,50,"cellular response to cAMP"
"GO:0051965",0.352,0.0168,0.0148,0,2.98726959963526,2.76000994003292,0.284924536727665,0.0146915487429897,1.3532191094381,0.138021297897375,63,"positive regulation of synapse assembly"
"GO:0097720",0.2009,0.0092,0.0011,0,2.98538480502857,0.741937344729377,0.173913337899735,0.00109939544330106,1.01359692032519,0.0109399400383345,48,"calcineurin-mediated signaling"
"GO:0106056",0.2009,0.0092,0.0014,0,2.98538480502857,0.8754687373539,0.173913337899735,0.00139902091370741,1.01359692032519,0.0139029051689914,41,"regulation of calcineurin-mediated signaling"
"GO:0051590",0.3388,0.0162,0.0034,0,2.98344782541842,1.48160454092422,0.27570351017754,0.00339423306801562,1.32873088398326,0.0334347760862374,23,"positive regulation of neurotransmitter transport"
"GO:0050982",0.2063,0.0095,3e-04,0,2.98279176227826,0.262364264467491,0.178102664818446,0.000299955008997942,1.02864046458217,0.00299550897979837,53,"detection of mechanical stimulus"
"GO:0010976",0.4187,0.0203,0.0076,0,2.98083309762417,2.15176220325946,0.32964425763668,0.00757126549631813,1.46133705837672,0.0732504617395925,161,"positive regulation of neuron projection development"
"GO:0007269",0.6134,0.0302,0.0662,1e-04,2.98022808701803,4.11236306772478,0.448590795371389,0.0640009304061904,1.70097054315032,0.507022196100173,144,"neurotransmitter secretion"
"GO:0099643",0.6134,0.0302,0.0662,1e-04,2.98022808701803,4.11236306772478,0.448590795371389,0.0640009304061904,1.70097054315032,0.507022196100173,144,"signal release from synapse"
"GO:0051938",0.2008,0.0093,0.0018,0,2.97513321268392,1.02961941718116,0.173730980074438,0.0017983819413794,1.01234919689319,0.017839918128331,39,"L-glutamate import"
"GO:0021762",0.204,0.0095,0.001,0,2.97163472197493,0.693147180559945,0.176194188115874,0.000999500333083423,1.02110315214967,0.00995033085316809,44,"substantia nigra development"
"GO:0031290",0.3401,0.0165,0.0024,0,2.96997480849513,1.22377543162212,0.276378883957782,0.00239712459972145,1.32911070081129,0.0237165266173161,23,"retinal ganglion cell axon guidance"
"GO:0035249",0.4995,0.0247,0.0247,0,2.9691166068541,3.24649099190117,0.380731832383392,0.0243998868235351,1.57018512178158,0.220740666697899,113,"synaptic transmission, glutamatergic"
"GO:0050805",0.4419,0.022,0.0096,0,2.957849795,2.36085400111802,0.344200196548952,0.00955421280481171,1.49106043783881,0.0916671885258237,54,"negative regulation of synaptic transmission"
"GO:0071277",0.5853,0.0295,0.0253,0,2.9561049203568,3.26956893918372,0.431700416381338,0.0249852526939086,1.66617581745219,0.225540675913931,87,"cellular response to calcium ion"
"GO:0050709",0.3497,0.0173,0.0111,1e-04,2.95303009729876,2.39789527279837,0.282730286715533,0.0109388521148831,1.34384593811723,0.104261010324409,74,"negative regulation of protein secretion"
"GO:0002762",0.2053,0.0098,3e-04,0,2.94978528594703,0.262364264467491,0.176976207169483,0.000299955008997942,1.0226343706654,0.00299550897979837,54,"negative regulation of myeloid leukocyte differentiation"
"GO:0035774",0.1992,0.0095,0.0052,0,2.94794160971764,1.82454929205105,0.172199509035496,0.00518652668730015,1.00518769684377,0.0506931143155182,32,"positive regulation of insulin secretion involved in cellular response to glucose stimulus"
"GO:0051491",0.2004,0.0096,0.0036,0,2.94443897916644,1.52605630349505,0.173100621779263,0.00359353551013022,1.00827754537606,0.0353671438372913,31,"positive regulation of filopodium assembly"
"GO:0051968",0.2001,0.0096,0.0033,0,2.94294829566059,1.45861502269952,0.172850673850447,0.00329456694943011,1.00727837793241,0.0324671901375014,36,"positive regulation of synaptic transmission, glutamatergic"
"GO:0050433",0.693,0.0356,0.0561,0,2.94242372009948,4.04480411666196,0.491521134255753,0.0545828777702917,1.76611384612855,0.445326641533295,53,"regulation of catecholamine secretion"
"GO:2001014",0.3503,0.0176,0.0023,0,2.93847897855263,1.19392246847243,0.282879876381139,0.00229735904868346,1.342624991843,0.0227394869694893,20,"regulation of skeletal muscle cell differentiation"
"GO:0032024",0.5914,0.0304,0.0338,0,2.93737418947944,3.54961738678043,0.434667055593345,0.0332413337798019,1.66811187799497,0.291175961706037,86,"positive regulation of insulin secretion"
