"Pathway","psig.protein","psig.ahba","psigfdr.protein","psigfdr.ahba","inflation_log","inflation_logfdr","inflation_log1","inflation_logfdr1","inflation_log2","inflation_logfdr2","PathwaySize","PathwayName"
"GO:0030165",0.5319,0.0244,0.039,3e-04,3.04358461527825,3.42651518964645,0.40240171969328,0.0379587571080923,1.62522897347433,0.326308238162802,85,"PDZ domain binding"
"GO:0022843",0.7468,0.0391,0.1494,1e-04,2.92575922823049,4.91798823171141,0.519430588752805,0.139140072091171,1.80627144033131,0.912888346924761,143,"voltage-gated monoatomic cation channel activity"
"GO:0030215",0.3459,0.0179,0.0071,0,2.90987463191011,2.09186406167839,0.279321252781376,0.00707491367196198,1.33025790409011,0.0685927914656117,23,"semaphorin receptor binding"
"GO:0004993",0.3583,0.0193,0.0101,0,2.87353680807173,2.40694510831829,0.287117800654078,0.0100493358530014,1.34588266241121,0.0962188577405429,22,"G protein-coupled serotonin receptor activity"
"GO:0045499",0.2854,0.016,0.0088,1e-04,2.82417609103027,2.1870722058722,0.235196604798759,0.00866151066823933,1.2006915648739,0.0833416481006674,28,"chemorepellent activity"
"GO:0005272",0.2697,0.0173,0.0037,0,2.69411013677288,1.54756250871601,0.221628593276043,0.00369317183761761,1.14795711028316,0.0363319292473902,43,"sodium channel activity"
"GO:0005244",0.7199,0.048,0.1379,2e-04,2.68868013329991,4.75143269296634,0.495382563701459,0.12898447837816,1.71197010783802,0.864682228658147,172,"voltage-gated monoatomic ion channel activity"
"GO:0022832",0.7193,0.048,0.1378,2e-04,2.68784749378469,4.75071249127875,0.495033645344814,0.128896593331744,1.71123804338365,0.864261795605917,173,"voltage-gated channel activity"
"GO:0044325",0.4753,0.033,0.0321,1e-04,2.63968738319065,3.40422310257869,0.356394168803883,0.0314955665894172,1.46454251564749,0.277389525207105,133,"transmembrane transporter binding"
"GO:0004860",0.3102,0.0215,0.009,2e-04,2.62692048309386,2.12026353620009,0.248907662040099,0.00875976136880558,1.21673058285768,0.0841796935783792,73,"protein kinase inhibitor activity"
