"Pathway","psig.protein","psig.ahba","psigfdr.protein","psigfdr.ahba","inflation_log","inflation_logfdr","inflation_log1","inflation_logfdr1","inflation_log2","inflation_logfdr2","PathwaySize","PathwayName"
"GO:0140030",0.3852,0.031,0.009,0,2.49061946719469,2.30258509299405,0.295315328511307,0.0089597413714718,1.30936385386874,0.0861776962410522,187,"modification-dependent protein binding"
"GO:0008175",0.1999,0.0189,0.0016,1e-04,2.31208754009044,0.860201265223111,0.163514605990104,0.00149872636336375,0.925166282058227,0.0148738488232067,33,"tRNA methyltransferase activity"
"GO:0043021",0.3477,0.0366,0.0075,3e-04,2.22720790328576,1.87770189902878,0.262453309019507,0.00717205982970307,1.18706641811023,0.0693251525998279,169,"ribonucleoprotein complex binding"
"GO:0042162",0.1894,0.0204,0.0022,0,2.18573620032946,1.16315080980568,0.153254271004837,0.0021975835434872,0.876990281322663,0.0217614917815127,38,"telomeric DNA binding"
"GO:0017124",0.3413,0.0376,0.0078,0,2.18243526906535,2.17475172148416,0.25672893890581,0.00776973726436069,1.16537399077626,0.0751074724868055,122,"SH3 domain binding"
"GO:0003735",0.3463,0.039,0.0077,0,2.16130950563609,2.16332302566054,0.259101376885962,0.00767050630421974,1.16651743850453,0.0741793981742515,176,"structural constituent of ribosome"
"GO:0030374",0.2695,0.0307,0.0036,1e-04,2.1439554174033,1.43074612369072,0.208384939101986,0.003493540509797,1.03924611975808,0.0343676435042078,55,"nuclear receptor coactivator activity"
"GO:0000149",0.3114,0.037,0.0077,1e-04,2.10669825823915,2.06801284585621,0.234763339599992,0.00757051130388654,1.09958505139073,0.0731798978411679,107,"SNARE binding"
"GO:0008757",0.2556,0.0312,0.0043,1e-04,2.07555199963117,1.57239664075375,0.196890373342821,0.004190786416823,0.997083627129761,0.0411016756855518,165,"S-adenosylmethionine-dependent methyltransferase activity"
"GO:0001098",0.2291,0.0291,0.0046,0,2.03398882528649,1.7227665977411,0.177597560378889,0.00458945233380722,0.935774358096698,0.044973365642731,61,"basal transcription machinery binding"
"GO:0001099",0.2291,0.0291,0.0046,0,2.03398882528649,1.7227665977411,0.177597560378889,0.00458945233380722,0.935774358096698,0.044973365642731,61,"basal RNA polymerase II transcription machinery binding"
