"Pathway","psig.protein","psig.ahba","psigfdr.protein","psigfdr.ahba","inflation_log","inflation_logfdr","inflation_log1","inflation_logfdr1","inflation_log2","inflation_logfdr2","PathwaySize","PathwayName"
"GO:0098664",0.4957,0.0103,0.0104,1e-04,3.78318349639501,2.33830317559612,0.392347008231594,0.0102462970538109,1.68653325837518,0.09794044752182,23,"G protein-coupled serotonin receptor signaling pathway"
"GO:0031338",0.4989,0.0104,0.0121,0,3.78079472301908,2.57261223020711,0.394385213700269,0.0120273802127185,1.69098450542742,0.114221144090023,23,"regulation of vesicle fusion"
"GO:0015874",0.2661,0.0052,0.002,0,3.76307382806487,1.09861228866811,0.23075478285677,0.00199800266267306,1.24704321982258,0.0198026272961797,23,"norepinephrine transport"
"GO:0021554",0.5001,0.0115,0.0164,0,3.69107703765742,2.85647020622048,0.394097394927044,0.0162669724638719,1.68307171709529,0.151862349309246,21,"optic nerve development"
"GO:0010839",0.2586,0.0056,2e-04,0,3.67207233579756,0.182321556793955,0.224415613816795,0.000199980002666245,1.22254918989887,0.00199800266267306,23,"negative regulation of keratinocyte proliferation"
"GO:0002433",0.2645,0.0061,6e-04,0,3.62152005663472,0.470003629245735,0.228595316812015,0.000599820071967549,1.23414450582878,0.00598207167754747,22,"immune response-regulating cell surface receptor signaling pathway involved in phagocytosis"
"GO:0038096",0.2645,0.0061,6e-04,0,3.62152005663472,0.470003629245735,0.228595316812015,0.000599820071967549,1.23414450582878,0.00598207167754747,22,"Fc-gamma receptor signaling pathway involved in phagocytosis"
"GO:0002082",0.2634,0.0061,5e-04,0,3.61736832393026,0.405465108108164,0.227725029166595,0.000499875041650993,1.23112211034213,0.00498754151103897,22,"regulation of oxidative phosphorylation"
"GO:0006244",0.2651,0.0063,4e-04,0,3.5959978298293,0.336472236621213,0.228870932481336,0.000399920021326891,1.23390600331369,0.00399202126953746,21,"pyrimidine nucleotide catabolic process"
"GO:0060307",0.2601,0.0063,0.002,0,3.57702912755074,1.09861228866811,0.22491084493636,0.00199800266267306,1.22011648530693,0.0198026272961797,22,"regulation of ventricular cardiac muscle cell membrane repolarization"
"GO:0032252",0.2696,0.007,0.0011,0,3.52120017405685,0.741937344729377,0.231726276493637,0.00109939544330106,1.23959250530562,0.0109399400383345,23,"secretory granule localization"
"GO:0032253",0.2696,0.007,0.0012,0,3.52120017405685,0.78845736036427,0.231726276493637,0.00119928057548219,1.23959250530562,0.0119285708652738,20,"dense core granule localization"
"GO:0048015",0.2647,0.007,4e-04,0,3.50292631108593,0.336472236621213,0.227859326167368,0.000399920021326891,1.22624626335273,0.00399202126953746,23,"phosphatidylinositol-mediated signaling"
"GO:1901380",0.2582,0.007,0.0023,0,3.47815842279828,1.19392246847243,0.222706514417367,0.00229735904868346,1.20826265516471,0.0227394869694893,22,"negative regulation of potassium ion transmembrane transport"
"GO:0009190",0.2737,0.0076,0.001,0,3.46391738984177,0.693147180559945,0.234354785117259,0.000999500333083423,1.24503268876375,0.00995033085316809,21,"cyclic nucleotide biosynthetic process"
"GO:0035357",0.2658,0.0075,3e-04,0,3.4464331505452,0.262364264467491,0.228232318520367,0.000299955008997942,1.22459588838905,0.00299550897979837,23,"peroxisome proliferator activated receptor signaling pathway"
"GO:0006837",0.2558,0.0074,0.001,0,3.42006586596654,0.693147180559945,0.220400065368459,0.000999500333083423,1.19780859315697,0.00995033085316809,23,"serotonin transport"
"GO:0002028",0.5029,0.0157,0.0189,0,3.40696911626384,2.99071973173045,0.391818544994593,0.0187236139981025,1.65075071129573,0.173112617708645,80,"regulation of sodium ion transport"
"GO:0055022",0.2588,0.0077,0.0018,0,3.39658907857596,1.02961941718116,0.222488379903895,0.0017983819413794,1.2034155460223,0.017839918128331,21,"negative regulation of cardiac muscle tissue growth"
"GO:0061117",0.2588,0.0077,0.0018,0,3.39658907857596,1.02961941718116,0.222488379903895,0.0017983819413794,1.2034155460223,0.017839918128331,21,"negative regulation of heart growth"
"GO:0030073",0.7642,0.0265,0.1194,1e-04,3.32595123289357,4.6955093530704,0.541542372365678,0.112692832474789,1.92156191533026,0.784726861519955,200,"insulin secretion"
"GO:0050796",0.8056,0.0281,0.1176,1e-04,3.32208970826182,4.6804463067593,0.563180507954653,0.111083533960282,1.95578649854623,0.776488828660613,167,"regulation of insulin secretion"
"GO:0046928",0.5028,0.0181,0.0237,0,3.27249102886593,3.20680324363393,0.389391889586664,0.0234235149435881,1.63005374354902,0.212689093410351,80,"regulation of neurotransmitter secretion"
"GO:0015844",0.5485,0.0199,0.0271,1e-04,3.26925961487291,3.24045939653538,0.417582137156785,0.0266393021892881,1.68800394172303,0.238804491874233,87,"monoamine transport"
"GO:0016079",0.5079,0.0186,0.0424,0,3.25672196735832,3.77045944110636,0.392288818921246,0.0415257468284983,1.63425390819105,0.353469812989784,95,"synaptic vesicle exocytosis"
"GO:0031629",0.571,0.0214,0.0251,0,3.2400780325188,3.26193531432865,0.430538124042077,0.0247901688072187,1.70967825834628,0.223943231484774,23,"synaptic vesicle fusion to presynaptic active zone membrane"
"GO:0051952",0.5477,0.0207,0.0433,0,3.23023958351852,3.79098467705109,0.416281291509261,0.0423887664917865,1.68011949808539,0.359770148846035,94,"regulation of amine transport"
"GO:0099500",0.5523,0.0214,0.0243,0,3.20683939104307,3.23080439573347,0.418563466818854,0.0240094524603519,1.68141370017665,0.217527812528574,24,"vesicle fusion to plasma membrane"
"GO:0001662",0.437,0.0171,0.0165,0,3.18630697210467,2.86220088092947,0.345602166447475,0.0163653540862642,1.52296982390519,0.152721087017664,42,"behavioral fear response"
"GO:0002209",0.437,0.0171,0.0158,0,3.18630697210467,2.82137888640921,0.345602166447475,0.0156764793850076,1.52296982390519,0.146694379150804,43,"behavioral defense response"
"GO:0042596",0.437,0.0171,0.0134,0,3.18630697210467,2.66722820658195,0.345602166447475,0.0133110140596724,1.52296982390519,0.12575120530556,48,"fear response"
"GO:0002793",0.4612,0.0182,0.0235,0,3.18108741880654,3.19867311755068,0.361221653452892,0.0232281261192072,1.55769924325631,0.21107097007994,113,"positive regulation of peptide secretion"
"GO:0090277",0.4612,0.0182,0.0239,0,3.18108741880654,3.21486780347066,0.361221653452892,0.023618865598634,1.55769924325631,0.214304602647005,111,"positive regulation of peptide hormone secretion"
"GO:0086001",0.539,0.0215,0.0294,0,3.17805383034795,3.41444260841218,0.409860719581202,0.0289761082365172,1.65999019159693,0.257738196078709,80,"cardiac muscle cell action potential"
"GO:0007613",0.6166,0.0249,0.0376,0,3.17159803000507,3.65325227647079,0.455730131462227,0.0369103540200972,1.74700438773932,0.319180739511152,126,"memory"
"GO:0014046",0.4384,0.0175,0.0214,2e-04,3.16763942786623,2.92673940206704,0.346182746400606,0.0209742552287404,1.5221634447463,0.191922689974633,42,"dopamine secretion"
