"Pathway","psig.protein","psig.ahba","psigfdr.protein","psigfdr.ahba","inflation_log","inflation_logfdr","inflation_log1","inflation_logfdr1","inflation_log2","inflation_logfdr2","PathwaySize","PathwayName"
"GO:0030215",0.1853,0.0111,0.0022,0,2.73415282500485,1.16315080980568,0.158957059988101,0.0021975835434872,0.94311056157387,0.0217614917815127,23,"semaphorin receptor binding"
"GO:0030165",0.366,0.024,0.0112,1e-04,2.68648602318637,2.40612577193489,0.288170234531282,0.0110377494101227,1.32390406852061,0.105160695495307,85,"PDZ domain binding"
"GO:0019905",0.269,0.0176,0.0032,0,2.67526037827922,1.43508452528932,0.22078227512853,0.00319489089651929,1.143507608576,0.031498667059371,66,"syntaxin binding"
"GO:0015079",0.4227,0.0287,0.0241,1e-04,2.65787861182386,3.12755766633341,0.324260605520137,0.0237141830989216,1.4015235711168,0.214918005889387,158,"potassium ion transmembrane transporter activity"
"GO:0004993",0.1808,0.012,0.0022,0,2.63795782428184,1.16315080980568,0.154263603998797,0.0021975835434872,0.919143800856562,0.0217614917815127,22,"G protein-coupled serotonin receptor activity"
"GO:0005249",0.3437,0.024,0.0238,1e-04,2.62379864865462,3.11553347336661,0.271710476281911,0.0234212000410127,1.27486709277983,0.212497673929321,99,"voltage-gated potassium channel activity"
"GO:0005242",0.1812,0.0129,0.0014,0,2.57321614468921,0.8754687373539,0.153713367177016,0.00139902091370741,0.912563688780893,0.0139029051689914,27,"inward rectifier potassium channel activity"
"GO:0004435",0.181,0.0129,0.0024,0,2.57211784694015,1.22377543162212,0.153544033504611,0.00239712459972145,0.911852198178129,0.0237165266173161,26,"phosphatidylinositol phospholipase C activity"
"GO:0022843",0.467,0.0369,0.0461,0,2.51351718382927,3.85227300102237,0.346984006578749,0.0450689633675781,1.42110857143335,0.379121132768562,143,"voltage-gated monoatomic cation channel activity"
"GO:0043178",0.225,0.0178,0.0022,0,2.48667812943638,1.16315080980568,0.185297408824095,0.0021975835434872,1.01483691111225,0.0217614917815127,90,"alcohol binding"
"GO:0099106",0.2841,0.024,0.0074,0,2.43396417105043,2.12823170584927,0.226341557237775,0.00737275432941316,1.13062136974682,0.071389996086673,139,"ion channel regulator activity"
"GO:0005178",0.3104,0.0267,0.0059,1e-04,2.41964584620661,1.83621123179889,0.243982658793886,0.00578266815782226,1.17531020652947,0.0563255662861859,157,"integrin binding"
"GO:0005272",0.1682,0.0147,0.0017,1e-04,2.37742073481786,0.897941593205959,0.140871100321172,0.00159856163524821,0.849412946712253,0.0158576167333393,43,"sodium channel activity"
"GO:0008066",0.2415,0.0219,0.0022,0,2.35986479981734,1.16315080980568,0.194656686330058,0.0021975835434872,1.03014664252362,0.0217614917815127,27,"glutamate receptor activity"
"GO:0044325",0.3453,0.0318,0.0104,1e-04,2.35687693601828,2.33830317559612,0.265312186680948,0.0102462970538109,1.21746259025925,0.09794044752182,133,"transmembrane transporter binding"
"GO:0005244",0.4611,0.0431,0.0441,1e-04,2.34932153542342,3.71357206670431,0.336992527996113,0.0430552753135943,1.36635545619452,0.364337816684301,172,"voltage-gated monoatomic ion channel activity"
"GO:0022832",0.4611,0.0431,0.0441,1e-04,2.34932153542342,3.71357206670431,0.336992527996113,0.0430552753135943,1.36635545619452,0.364337816684301,173,"voltage-gated channel activity"
"GO:0001222",0.1506,0.0139,7e-04,0,2.31988426025686,0.53062825106217,0.126479264470659,0.000699755114273265,0.788537172008832,0.00697561373642536,47,"transcription corepressor binding"
"GO:0005267",0.3862,0.0375,0.0307,2e-04,2.30828311410868,3.27399512408928,0.289752217379031,0.0300382030579437,1.2629961447754,0.265736431979412,122,"potassium channel activity"
