"Pathway","psig.protein","psig.ahba","psigfdr.protein","psigfdr.ahba","inflation_log","inflation_logfdr","inflation_log1","inflation_logfdr1","inflation_log2","inflation_logfdr2","PathwaySize","PathwayName"
"GO:0140030",0.7128,0.0394,0.1277,0,2.87177302608896,4.85748411460208,0.499485834701132,0.120180160256105,1.76313757849779,0.822858787081603,187,"modification-dependent protein binding"
"GO:0003735",0.8266,0.0472,0.2333,0,2.84317092481483,5.45660234551375,0.556336379661889,0.209693503589805,1.83972976668777,1.2038727993256,159,"structural constituent of ribosome"
"GO:0051082",0.6077,0.0347,0.0849,0,2.83617484671429,4.45318382899021,0.440693056558009,0.0814878168462679,1.65897019166542,0.614644952404988,112,"unfolded protein binding"
"GO:0032182",0.5944,0.0351,0.0882,2e-04,2.80294058324284,4.30855948279201,0.431999449508881,0.0843249750670217,1.63703291837999,0.630337038500515,119,"ubiquitin-like protein binding"
"GO:0043021",0.6376,0.0394,0.0986,0,2.76044849531358,4.60116216459055,0.454588131772738,0.094036641926383,1.66605417391596,0.686122565622981,168,"ribonucleoprotein complex binding"
"GO:0004386",0.5831,0.037,0.0714,0,2.73248604131988,4.28220629939167,0.423053020850205,0.0689662044647228,1.60666033590968,0.538829820175588,152,"helicase activity"
"GO:0045182",0.5563,0.0359,0.0653,1e-04,2.71489214352901,4.09887971738749,0.407040595146908,0.0631564546346815,1.57469868032258,0.501592318505804,134,"translation regulator activity"
"GO:0000149",0.55,0.0362,0.077,0,2.69542604787381,4.35670882668959,0.402694755532604,0.0741793981742515,1.56284796917427,0.570979546585738,106,"SNARE binding"
"GO:0016922",0.5819,0.0411,0.0826,0,2.62796790436317,4.42604352009066,0.418348809723827,0.0793655553807405,1.57541416066784,0.602127782172777,136,"nuclear receptor binding"
"GO:0003714",0.6575,0.0466,0.111,1e-04,2.62713175994596,4.62318869149077,0.45976362812191,0.10516051565716,1.64231574793097,0.745688447154892,198,"transcription corepressor activity"
"GO:0017124",0.6399,0.0462,0.0897,0,2.60847954591867,4.50755735712109,0.449470712412889,0.0859024290007035,1.62153949461583,0.640273690952877,121,"SH3 domain binding"
"GO:0051087",0.4684,0.0336,0.0396,1e-04,2.60760160135324,3.60845788680336,0.351125518594342,0.0387360287848649,1.4479751351204,0.332611504007097,131,"protein-folding chaperone binding"
"GO:0030374",0.4485,0.0327,0.0374,0,2.59063801655336,3.64805745959368,0.338351806532047,0.0367175829351629,1.41909633837712,0.317726193800158,55,"nuclear receptor coactivator activity"
"GO:0008094",0.4648,0.0349,0.0368,0,2.56301906195601,3.63230910262554,0.347413910686174,0.0361390466158731,1.43193792296532,0.313349819200359,117,"ATP-dependent activity, acting on DNA"
"GO:0008757",0.5271,0.0399,0.0588,0,2.55815559666413,4.09100566095659,0.384245957292949,0.0571361913708091,1.50017813587754,0.462475362824944,163,"S-adenosylmethionine-dependent methyltransferase activity"
"GO:0030515",0.3082,0.0231,0.0119,0,2.55177647621666,2.55722731136763,0.245814912642218,0.0118297517535772,1.19876021718534,0.112435429329788,32,"snoRNA binding"
