"Pathway","psig.protein","psig.ahba","psigfdr.protein","psigfdr.ahba","inflation_log","inflation_logfdr","inflation_log1","inflation_logfdr1","inflation_log2","inflation_logfdr2","PathwaySize","PathwayName"
"GO:0042552",0.8896,0.0304,0.4759,2e-04,3.34508749997339,5.98498526851022,0.606418090093009,0.389067993202927,2.02669417158573,1.74876584586186,153,"myelination"
"GO:0050770",0.9547,0.034,0.629,0,3.30709599478272,6.44571981938558,0.636801952890602,0.487966329619908,2.06317184533166,1.98650354602057,156,"regulation of axonogenesis"
"GO:0048167",0.9799,0.0354,0.7494,0,3.29390174292757,6.62060639769201,0.648258512894852,0.559272872003618,2.07639036276054,2.13936003189108,199,"regulation of synaptic plasticity"
"GO:0050768",0.8617,0.0319,0.3852,0,3.26659434831121,5.95635536999441,0.590088285656183,0.32584453354613,1.98665849199517,1.5793909910818,145,"negative regulation of neurogenesis"
"GO:0051017",0.8447,0.0315,0.3468,1e-04,3.25892459745248,5.75631742211586,0.581302609116227,0.297631413304449,1.97186056515727,1.49594138087387,158,"actin filament bundle assembly"
"GO:0061387",0.8256,0.0312,0.3304,0,3.24535444952727,5.80332610499246,0.571185527482834,0.285479648896581,1.95371929936948,1.45954482285948,109,"regulation of extent of cell growth"
"GO:1901379",0.7152,0.0272,0.2424,0,3.23463747962026,5.49470618055343,0.512693037940786,0.21704499285234,1.85767283100249,1.2308094582795,77,"regulation of potassium ion transmembrane transport"
"GO:0097061",0.7886,0.0306,0.2737,0,3.21836936752641,5.61567959310123,0.551292034017957,0.241926050613577,1.91750797365948,1.31828315050335,80,"dendritic spine organization"
"GO:1990138",0.9589,0.038,0.625,0,3.20326746623984,6.4393503711001,0.635087306463521,0.485507815781701,2.0377322272792,1.98100146886658,176,"neuron projection extension"
"GO:0048675",0.8527,0.0338,0.3984,0,3.19996245723583,5.98996342098171,0.583402700794028,0.335328725919134,1.96295391101861,1.60623278148515,119,"axon extension"
"GO:0016079",0.8628,0.0345,0.4216,0,3.19180856404523,6.04642610518196,0.588162513922625,0.351782997858305,1.96828150686702,1.65173082462435,95,"synaptic vesicle exocytosis"
"GO:0086001",0.7085,0.0283,0.1928,1e-04,3.18697298057708,5.17151651965234,0.507708839320201,0.176203489468058,1.84080940739557,1.07332009576598,80,"cardiac muscle cell action potential"
"GO:0048813",0.9112,0.0375,0.4778,0,3.16520102298386,6.17128297368382,0.610917343906746,0.39055449537241,1.99526910628597,1.75405760204404,140,"dendrite morphogenesis"
"GO:0051961",0.8641,0.0363,0.3968,0,3.14385178053656,5.98594936641987,0.587121685685028,0.334183906103201,1.95633668496785,1.60301734463118,151,"negative regulation of nervous system development"
"GO:0010976",0.8582,0.0364,0.3914,0,3.13433101933411,5.97228172769121,0.583855107519257,0.330310434507404,1.94946477903966,1.59208827409899,156,"positive regulation of neuron projection development"
"GO:0099173",0.8432,0.0359,0.353,0,3.13017788230192,5.86929691313377,0.576232577437516,0.302324349188651,1.93735902806606,1.51072193949494,194,"postsynapse organization"
"GO:0030705",0.8382,0.0358,0.3511,0,3.1269512119072,5.86391522616101,0.573612756934218,0.300919075483776,1.93277993076976,1.50651885842626,199,"cytoskeleton-dependent intracellular transport"
"GO:0043266",0.7518,0.0323,0.2998,0,3.11824219128477,5.70644559207568,0.528854508257444,0.262210406478112,1.8622796863682,1.38579423607821,93,"regulation of potassium ion transport"
"GO:1901889",0.538,0.0234,0.0892,0,3.09513243860984,4.50202942706858,0.407352453694598,0.0854434818174674,1.6429071718735,0.637634470629686,30,"negative regulation of cell junction assembly"
"GO:0099504",0.9726,0.0434,0.7266,0,3.08776107223514,6.58975144664397,0.636867857931601,0.546154156819285,2.0122029583833,2.11215071608954,198,"synaptic vesicle cycle"
"GO:1903305",0.6579,0.0292,0.1975,0,3.08272985353895,5.29078910012725,0.476769939837831,0.180236050302933,1.76918985946948,1.09024403899759,124,"regulation of regulated secretory pathway"
"GO:0051588",0.6733,0.0302,0.1706,0,3.0732570209251,5.14516618705386,0.485044766369043,0.157516437874984,1.78159534184052,0.995471529748596,97,"regulation of neurotransmitter transport"
"GO:0046928",0.6178,0.0277,0.1284,0,3.07088499593334,4.8629083820668,0.453743905952825,0.120800700145704,1.72650721567501,0.825928291793764,80,"regulation of neurotransmitter secretion"
"GO:0090174",0.6716,0.0302,0.1685,2e-04,3.07073270449073,4.95053137002655,0.484028293442275,0.155520894994109,1.7793945512571,0.985682725298155,121,"organelle membrane fusion"
"GO:0051893",0.6672,0.03,0.1881,0,3.07060032543751,5.24227597566441,0.481586770335366,0.172355392482105,1.77521307311365,1.05813745610239,63,"regulation of focal adhesion assembly"
"GO:0090109",0.6672,0.03,0.1881,0,3.07060032543751,5.24227597566441,0.481586770335366,0.172355392482105,1.77521307311365,1.05813745610239,63,"regulation of cell-substrate junction assembly"
"GO:0001508",0.787,0.0357,0.2685,0,3.06672133479735,5.59656839034905,0.545460709564595,0.237835100057199,1.87739841546876,1.3042705256413,145,"action potential"
"GO:1901890",0.7204,0.0326,0.2252,0,3.06666770150028,5.42141956368202,0.510476928464033,0.203104095976483,1.82245494844646,1.17927019168556,108,"positive regulation of cell junction assembly"
"GO:0007044",0.7526,0.0341,0.252,0,3.06666059279033,5.53338948872752,0.527568916430821,0.224742272677907,1.84970471404348,1.25846098961001,96,"cell-substrate junction assembly"
"GO:0051952",0.6725,0.0304,0.2095,0,3.06568010293621,5.34948565312244,0.484372436652294,0.190207051067945,1.77902535927935,1.12978790613656,94,"regulation of amine transport"
"GO:0006839",0.7539,0.0346,0.2425,0,3.05423965228759,5.49511694252264,0.527827001194678,0.217125478988647,1.84750667370293,1.23110147171419,177,"mitochondrial transport"
"GO:0001952",0.6731,0.0308,0.1748,0,3.05391217807326,5.16934698525108,0.484342993285408,0.161097920342328,1.77673896730333,1.0108733743601,121,"regulation of cell-matrix adhesion"
"GO:1902414",0.7989,0.0369,0.2983,0,3.0495356077664,5.70144641485865,0.550939874404408,0.261055716384071,1.88192106128495,1.38203530419951,108,"protein localization to cell junction"
"GO:0140056",0.7975,0.037,0.3487,0,3.04514880792868,5.85707564406933,0.550064881365674,0.299141165540675,1.87963219453431,1.50118432699385,82,"organelle localization by membrane tethering"
"GO:0010970",0.7123,0.033,0.1961,0,3.04354156466783,5.28371121415867,0.505370305875287,0.179066264073282,1.80952060183515,1.08552704911945,171,"transport along microtubule"
"GO:0015800",0.6902,0.0322,0.2168,0,3.0358793415674,5.38357721049886,0.493154418395755,0.196224461962946,1.7879701505597,1.15310047395218,66,"acidic amino acid transport"
"GO:0030308",0.8059,0.0378,0.3203,0,3.03477949822523,5.77237526612181,0.553955994524658,0.277858983503018,1.88312556609568,1.43579855602298,186,"negative regulation of cell growth"
"GO:0043534",0.6783,0.0317,0.2087,0,3.03368777829405,5.34567793790787,0.486573449207803,0.189545401883274,1.77658544521611,1.12719974552002,118,"blood vessel endothelial cell migration"
"GO:0010595",0.7047,0.033,0.2148,0,3.03282969339062,5.37435205282403,0.500921952037241,0.194579454189457,1.80012040893033,1.14676733055516,104,"positive regulation of endothelial cell migration"
"GO:0001755",0.623,0.0293,0.1333,0,3.0250026558541,4.90007610352919,0.455397328982077,0.125133730756766,1.72127393638095,0.847154993039293,57,"neural crest cell migration"
"GO:0106027",0.7853,0.0372,0.2743,0,3.02450288338494,5.61786141214856,0.543061693654407,0.242397008236096,1.86448685532522,1.31988742892229,91,"neuron projection organization"
"GO:0007272",0.9045,0.043,0.4948,2e-04,3.02429764340521,6.02385106280714,0.602118330917886,0.401792438626526,1.94940055399508,1.78105702593524,155,"ensheathment of neurons"
"GO:0008366",0.9045,0.043,0.4948,2e-04,3.02429764340521,6.02385106280714,0.602118330917886,0.401792438626526,1.94940055399508,1.78105702593524,155,"axon ensheathment"
"GO:0017015",0.6241,0.0294,0.1381,0,3.02346902852559,4.9351930989294,0.455977707961903,0.129360205305707,1.72202112232797,0.867520567504726,140,"regulation of transforming growth factor beta receptor signaling pathway"
"GO:0048709",0.7885,0.0375,0.3328,0,3.02074159240196,5.81054201122773,0.544563306594219,0.287281992430441,1.86591073048808,1.46510554154418,105,"oligodendrocyte differentiation"
"GO:0042987",0.6194,0.0295,0.1631,0,3.01263774768902,5.10047599809605,0.45298246278417,0.151088854362856,1.71473665012193,0.967364002058156,55,"amyloid precursor protein catabolic process"
"GO:0045667",0.7899,0.0379,0.2942,1e-04,3.01217728690097,5.59234291292199,0.544960311381211,0.257792748640695,1.86458031206356,1.37068870839744,128,"regulation of osteoblast differentiation"
