"Pathway","psig.protein","psig.ahba","psigfdr.protein","psigfdr.ahba","inflation_log","inflation_logfdr","inflation_log1","inflation_logfdr1","inflation_log2","inflation_logfdr2","PathwaySize","PathwayName"
"GO:0001540",0.5174,0.0299,0.0456,0,2.81999096113437,3.8416005411316,0.387536633772218,0.0445908833278752,1.5587521883915,0.375692949774494,85,"amyloid-beta binding"
"GO:0016247",0.6546,0.0382,0.0937,0,2.81687410007326,4.55071400019203,0.466070843362954,0.0895664433590432,1.69748589619664,0.661140384424859,144,"channel regulator activity"
"GO:0019905",0.5201,0.0302,0.0491,0,2.81552386709973,3.91402100809082,0.389023164018489,0.0479326537553027,1.56080902558136,0.399447035782601,66,"syntaxin binding"
"GO:0005248",0.2835,0.0171,0.0067,1e-04,2.75482131529461,1.94591014905531,0.232635280679645,0.00657765975290725,1.18631135020364,0.0638514719865328,22,"voltage-gated sodium channel activity"
"GO:0030165",0.541,0.0338,0.0547,0,2.74564861465922,4.01998014693324,0.399190222558177,0.0532563663004315,1.56668330922654,0.436317571590929,85,"PDZ domain binding"
"GO:0141108",0.6606,0.0417,0.097,0,2.7404622234749,4.58496747867057,0.466324988837527,0.0925791812930932,1.68039544879752,0.678033542749897,145,"transporter regulator activity"
"GO:0048156",0.3396,0.021,0.0098,2e-04,2.73966631487027,2.19722457733622,0.271588522755384,0.00955231144001208,1.29007467693273,0.0914923404246657,43,"tau protein binding"
"GO:1901981",0.5662,0.0358,0.057,0,2.73521413004303,4.06044301054642,0.413478228327046,0.0554347068881005,1.59040671063498,0.451075619360217,178,"phosphatidylinositol phosphate binding"
"GO:0004721",0.5747,0.0369,0.0521,1e-04,2.72063557959338,3.87686674844357,0.417829285362131,0.0506881718317717,1.59501741533898,0.418368512944072,180,"phosphoprotein phosphatase activity"
"GO:0005080",0.4204,0.0277,0.0243,1e-04,2.68668537860451,3.13549421592915,0.323615226437905,0.0239094574600186,1.40491398359986,0.216528312195491,52,"protein kinase C binding"
"GO:0032934",0.3897,0.0257,0.0197,0,2.68327643665482,3.03013370027132,0.303712590179171,0.019508466388043,1.35989484311207,0.179818426575836,67,"sterol binding"
